,URL,MEAN_G_RING,MEAN_GS_RING,MEAN_FG%_PER_GAME_RING,MEAN_3P_PER_GAME_RING,MEAN_3P%_PER_GAME_RING,MEAN_FT%_PER_GAME_RING,MEAN_ORB_PER_GAME_RING,MEAN_FTr_RING,MEAN_DRB%_RING,MEAN_STL%_RING,MEAN_TOV%_RING,MEAN_USG%_RING,MEAN_DBPM_RING,MEAN_OFF_TEAM_RTG_RING,MEAN_W/L%_TEAM_RING,MEAN_G_PLAYOFF_1stPO,MEAN_GS_PLAYOFF_1stPO,MEAN_FG%_PER_GAME_PLAYOFF_1stPO,MEAN_FT%_PER_GAME_PLAYOFF_1stPO,MEAN_3P%_PER_GAME_PLAYOFF_1stPO,MEAN_FTr_PLAYOFF_1stPO,MEAN_ORB%_PLAYOFF_1stPO,MEAN_DRB%_PLAYOFF_1stPO,MEAN_STL%_PLAYOFF_1stPO,MEAN_TOV%_PLAYOFF_1stPO,MEAN_USG%_PLAYOFF_1stPO,MEAN_OWS_PLAYOFF_1stPO,MEAN_G_PLAYOFF_SGFCT,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_FG%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_BLK%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_OFF_TEAM_RTG_SGFCT,ROY,DRAFT_PICK,AGE_ENTRANCE,IS_ACTIVE
69,/players/c/coleno01.html,72.5,3.0,0.40700000000000003,0.35,0.3165,0.7130000000000001,0.25,0.1885,7.3,1.85,18.049999999999997,19.4,-1.0,109.44999999999999,0.751,19.0,0.0,0.324,0.778,0.25,0.243,0.7,6.3,2.2,10.9,12.9,-0.1,16.0,2.0,4,2,1,PG,72.5,0.40700000000000003,0.7130000000000001,0.25,18.049999999999997,19.4,109.44999999999999,101.95,107.33333333333333,0,28,24,0
70,/players/c/collija04.html,74.0,26.0,0.469,0.0,0.0,0.459,0.9,0.655,11.1,1.0,24.8,7.4,0.0,110.2,0.805,17.0,0.0,0.364,0.658,0.0,1.152,11.4,8.7,1.1,19.4,12.1,0.1,12.428571428571429,2.8333333333333335,6,1,2,C,79.0,0.4175,0.732,2.05,16.6,13.0,103.9,98.8,104.43333333333334,0,18,24,0
71,/players/c/connapa01.html,69.0,4.0,0.434,1.5,0.371,0.775,0.9,0.103,17.3,1.5,7.5,11.6,0.5,117.2,0.639,6.0,0.0,0.6,0.0,0.667,0.0,0.0,13.2,0.0,0.0,26.7,0.0,12.8,3.5,2,1,1,SG,36.5,0.3895,0.889,0.25,17.3,15.85,109.55,109.4,113.52000000000001,0,41,23,1
72,/players/c/cookbr01.html,51.0,2.0,0.376,0.8,0.374,0.905,0.5,0.09,14.2,1.1,13.8,20.5,-0.7,110.2,0.805,13.0,0.0,0.333,1.0,0.0,0.133,7.6,22.8,1.2,15.9,20.0,-0.1,8.333333333333334,2.5,6,1,2,PF,53.5,0.44599999999999995,0.7535000000000001,2.25,8.1,18.35,106.8,106.35,107.3,0,24,24,0
73,/players/c/cookqu01.html,38.5,9.5,0.4545,1.0499999999999998,0.40349999999999997,0.833,0.3,0.082,9.35,0.9500000000000001,11.9,19.25,-1.45,112.8,0.7195,17.0,0.0,0.448,0.824,0.226,0.254,1.3,12.5,1.1,6.3,20.3,0.2,17.0,1.5,6,2,1,PG,9.5,0.47,0.2,0.0,19.8,20.15,108.4,108.6,113.83333333333333,0,-100,24,0
74,/players/c/craigto01.html,18.0,0.0,0.391,0.4,0.364,0.5,0.7,0.043,15.1,2.1,9.6,10.8,1.6,117.2,0.639,14.0,11.0,0.478,0.563,0.472,0.232,6.6,16.5,1.1,7.3,11.1,0.6,18.333333333333332,1.8,5,1,1,SF,57.0,0.4475,0.6645,2.35,10.85,12.15,112.75,109.95,113.26666666666667,0,-100,28,1
75,/players/c/curryst01.html,70.0,70.0,0.48333333333333334,3.9666666666666663,0.42566666666666664,0.911,0.7333333333333334,0.284,12.4,2.6666666666666665,13.533333333333333,30.0,0.6666666666666666,113.59999999999998,0.7803333333333332,12.0,12.0,0.434,0.921,0.396,0.162,1.2,8.8,2.1,13.7,26.2,1.3,16.0,13.0,1,3,1,PG,77.0,0.471,0.9095,0.55,16.45,23.1,108.15,111.2,111.36363636363636,0,7,22,1
76,/players/d/daniean01.html,47.0,0.0,0.454,0.1,0.294,0.754,0.3,0.355,7.1,2.6,17.2,19.4,1.4,104.0,0.74,15.0,0.0,0.429,0.833,0.667,0.286,1.2,9.6,2.1,29.7,15.7,0.0,9.285714285714286,1.875,8,1,2,PG,60.5,0.435,0.7065,0.55,19.0,18.65,104.05,103.5,107.8111111111111,0,4,23,0
77,/players/d/danietr01.html,41.0,0.0,0.392,1.0,0.357,0.625,0.3,0.101,8.1,0.8,5.2,16.1,-1.1,112.0,0.732,4.0,0.0,0.529,1.0,0.533,0.294,4.7,10.0,1.5,9.4,13.3,0.3,5.333333333333333,1.5,8,1,1,SG,26.0,0.427,0.423,0.1,9.65,20.6,107.85,105.4,108.25,0,-100,23,0
78,/players/d/davisgl01.html,69.0,1.0,0.484,0.0,0.0,0.66,1.4,0.679,13.5,1.7,18.5,17.4,0.7,110.2,0.805,17.0,0.0,0.412,0.611,0.0,0.529,11.2,11.7,2.0,19.3,18.3,-0.1,13.714285714285714,3.3333333333333335,3,1,2,PF,72.5,0.46299999999999997,0.6950000000000001,1.3,15.15,17.25,110.35,100.6,105.66666666666667,0,35,22,0
