,URL,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_GS_2S,MEAN_FG%_PER_GAME_2S,MEAN_3P_PER_GAME_2S,MEAN_3P%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_ORB_PER_GAME_2S,MEAN_AST_PER_GAME_2S,MEAN_STL_PER_GAME_2S,MEAN_BLK_PER_GAME_2S,MEAN_PF_PER_GAME_2S,MEAN_PER_2S,MEAN_3PAr_2S,MEAN_FTr_2S,MEAN_ORB%_2S,MEAN_DRB%_2S,MEAN_AST%_2S,MEAN_STL%_2S,MEAN_BLK%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OWS_2S,MEAN_DBPM_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_W/L%_TEAM_2S,MEAN_GS_SGFCT,MEAN_OWS_SGFCT,MEAN_OFF_TEAM_RTG_SGFCT,MEAN_W/L%_TEAM_SGFCT,ALL-ROOKIE,ALL_STAR,ROY,HALL_OF_FAME,DRAFT_PICK,HEIGHT(cm),AGE_ENTRANCE,IS_ACTIVE
362,/players/g/gordodr01.html,1.0,1,0,1,PF,9.0,0.0,0.421,0.0,0.0,0.5,0.8,0.2,0.1,0.0,0.8,3.7,0.158,0.105,10.2,17.7,4.8,0.7,0.0,28.7,17.1,-0.2,-2.4,95.5,104.8,0.22,0.0,-0.2,95.5,0.22,0,0,0,0,-100,205.74,25,0
363,/players/g/graceri01.html,1.0,1,0,1,PG,3.0,0.0,0.667,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,10.8,0.0,0.667,0.0,13.8,21.9,0.0,0.0,0.0,20.8,0.0,1.5,107.2,101.7,0.695,0.0,0.0,107.2,0.695,0,0,0,0,67,185.42,27,0
364,/players/g/grandji01.html,1.0,1,0,1,PF,26.0,0.0,0.517,0.3,0.529,0.476,0.8,0.3,0.1,0.3,1.3,16.5,0.293,0.362,13.6,20.3,7.4,0.6,3.0,14.1,20.6,0.3,-1.1,105.5,110.3,0.341,0.0,0.3,105.5,0.341,0,0,0,0,76,213.36,31,0
365,/players/g/grantdo01.html,1.0,1,0,1,SF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,-14.0,110.3,107.0,0.598,0.0,0.0,110.3,0.598,0,0,0,0,-100,203.2,24,0
366,/players/g/grantpa01.html,1.0,4,0,1,C,5.0,0.0,0.2915,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.85,-9.45,0.0,0.0,10.5,0.0,0.0,2.1,0.0,22.5,27.7,-0.1,-5.4,101.15,101.95,0.44,0.0,-0.1,101.9,0.512,0,0,0,0,20,213.36,25,0
367,/players/g/graveha01.html,1.0,1,0,1,PG,8.0,3.0,0.474,1.4,0.423,0.75,0.1,2.5,0.6,0.1,1.6,10.1,0.684,0.105,0.6,12.4,17.0,1.4,0.5,18.5,12.3,0.1,0.2,104.5,112.5,0.268,3.0,0.1,104.5,0.268,0,0,0,0,-100,187.96,26,1
368,/players/g/grayde01.html,1.0,4,0,2,PF,4.5,0.0,0.2905,0.0,0.0,0.45,1.0,0.5,0.85,0.0,1.4,10.2,0.0,0.278,14.0,23.9,9.5,5.35,0.0,7.55,27.0,-0.15,-1.4000000000000001,104.45,110.05000000000001,0.299,1.0,-0.04999999999999999,104.35,0.299,0,0,0,0,-100,200.66,25,0
369,/players/g/grayev01.html,1.0,1,0,1,SF,5.0,0.0,0.267,0.2,0.25,1.0,0.2,0.4,0.2,0.0,1.0,2.8,0.267,0.267,2.4,5.5,7.2,1.2,0.0,15.2,20.1,-0.1,-2.9,104.7,109.7,0.317,0.0,-0.1,104.7,0.317,0,0,0,0,-100,200.66,28,0
370,/players/g/grayjo01.html,1.0,2,0,1,PG,3.5,0.0,0.384,0.3,0.1155,0.318,0.45,1.7,0.8,0.2,1.05,1.1,0.1585,0.134,3.5,7.35,15.600000000000001,2.25,0.95,42.300000000000004,19.3,-0.2,-1.85,107.1,112.35,0.3365,0.0,-0.3,103.5,0.256,0,0,0,0,-100,182.88,25,0
371,/players/g/graysy01.html,1.0,1,0,1,SF,55.0,15.0,0.42,0.0,0.25,0.673,2.1,2.1,0.7,0.5,2.6,11.2,0.01,0.392,10.4,16.2,14.2,1.4,1.3,17.9,18.9,-0.4,-0.4,97.8,109.0,0.183,15.0,-0.4,97.8,0.183,0,0,0,0,35,198.12,22,0
