,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS,ORB,DRB,Unnamed: 27,Unnamed: 25
594,2018-19,Vanderbilt,SEC,5,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,3.8,2.6,0.8,0.4,3.0,1.4,16.2,7.79,/players/darius-garland-1.html,5,0.4,3.4,,
595,1988-89,Old Dominion,Sun Belt,27,31.1,8.9,14.4,0.616,8.9,14.4,0.616,0.0,0.0,,4.7,6.6,0.704,9.0,0.9,1.4,2.3,2.9,3.3,22.4,1.77,/players/chris-gatling-1.html,,,,,
596,1989-90,Old Dominion,Sun Belt,26,31.6,8.0,13.7,0.58,8.0,13.7,0.58,0.0,0.0,,4.6,6.9,0.67,10.0,1.0,1.8,1.9,2.9,3.5,20.5,1.61,/players/chris-gatling-1.html,,,,,
597,1990-91,Old Dominion,Sun Belt,32,31.3,7.8,12.7,0.62,7.8,12.6,0.621,0.0,0.0,0.0,5.3,7.7,0.692,11.1,0.8,1.9,2.7,2.8,3.2,21.0,-0.25,/players/chris-gatling-1.html,30.0,,,,
598,2004-05,UConn,Big East,31,28.8,4.3,9.2,0.462,3.4,7.3,0.46,0.9,1.9,0.467,2.4,3.4,0.708,5.4,1.5,0.8,1.9,2.0,2.3,11.8,7.62,/players/rudy-gay-1.html,26,1.8,3.6,,
599,2005-06,UConn,Big East,33,30.8,5.7,12.3,0.461,4.8,9.6,0.5,0.8,2.7,0.318,3.1,4.2,0.732,6.4,2.1,1.8,1.6,2.5,2.3,15.2,6.57,/players/rudy-gay-1.html,33,2.0,4.4,,
600,1988-89,Seton Hall,Big East,38,32.6,4.5,8.8,0.509,2.0,3.0,0.673,2.5,5.8,0.425,2.2,3.0,0.726,4.5,2.9,0.9,0.5,2.1,2.8,13.6,9.16,/players/andrew-gaze-1.html,37,,,,
601,2008-09,Fresno State,WAC,34,34.6,4.9,10.4,0.47,3.0,6.2,0.486,1.9,4.1,0.447,2.7,3.9,0.697,6.2,1.9,1.7,1.0,2.3,2.7,14.3,0.96,/players/paul-george-1.html,34,1.9,4.4,,
602,2009-10,Fresno State,WAC,29,33.2,5.3,12.5,0.424,3.3,6.8,0.485,2.0,5.8,0.353,4.1,4.6,0.909,7.2,3.0,2.2,0.8,3.2,2.9,16.8,1.31,/players/paul-george-1.html,29,1.9,5.3,,
603,2006-07,USC,Pac-10,37,32.4,4.7,8.4,0.558,4.7,8.4,0.558,0.0,0.0,,2.8,4.5,0.623,8.7,1.5,0.5,1.9,2.9,3.0,12.2,7.87,/players/taj-gibson-1.html,37,2.7,5.9,,
604,2007-08,USC,Pac-10,33,32.1,4.2,7.2,0.58,4.2,7.2,0.58,0.0,0.0,,2.4,4.0,0.594,7.8,1.3,0.7,2.5,2.5,3.5,10.8,8.59,/players/taj-gibson-1.html,32,2.4,5.4,,
605,2008-09,USC,Pac-10,35,33.7,5.4,9.0,0.601,5.4,9.0,0.601,0.0,0.0,,3.4,5.2,0.659,9.0,1.3,1.0,2.9,2.1,2.9,14.3,9.15,/players/taj-gibson-1.html,35,3.5,5.5,,
606,2017-18,Kentucky,SEC,37,33.7,4.9,10.2,0.485,4.3,8.6,0.5,0.6,1.5,0.404,3.9,4.7,0.817,4.1,5.1,1.6,0.5,2.7,1.7,14.4,10.73,/players/shai-gilgeous-alexander-1.html,24,0.9,3.2,,
607,1986-87,Illinois,Big Ten,31,11.1,1.3,2.7,0.482,1.3,2.6,0.488,0.0,0.0,0.0,1.1,1.7,0.642,1.4,0.9,1.3,0.3,0.7,0.9,3.7,8.66,/players/kendall-gill-1.html,0,,,,
608,1987-88,Illinois,Big Ten,33,28.7,3.9,8.2,0.471,3.2,6.2,0.527,0.6,2.1,0.304,2.0,2.7,0.753,2.2,4.2,2.0,0.1,2.2,2.2,10.4,9.82,/players/kendall-gill-1.html,23,,,,
609,1988-89,Illinois,Big Ten,24,28.4,6.0,11.0,0.542,4.4,7.5,0.58,1.6,3.5,0.458,1.9,2.4,0.793,2.9,3.8,2.1,0.3,1.8,1.5,15.4,12.42,/players/kendall-gill-1.html,18,,,,
610,1989-90,Illinois,Big Ten,29,34.5,7.3,14.6,0.5,6.5,12.3,0.528,0.8,2.3,0.348,4.7,6.0,0.777,4.9,3.3,2.2,0.6,2.5,2.3,20.0,9.82,/players/kendall-gill-1.html,29,,,,
611,1984-85,UNLV,PCAA,31,25.8,4.4,7.1,0.621,,,,,,,3.2,4.8,0.653,6.8,0.2,0.9,0.5,1.6,2.7,11.9,0.17,/players/armen-gilliam-1.html,27,,,,
612,1985-86,UNLV,PCAA,37,33.6,6.0,11.3,0.529,,,,,,,3.9,5.1,0.768,8.5,0.5,1.1,1.1,2.1,2.3,15.7,4.34,/players/armen-gilliam-1.html,37,,,,
613,1986-87,UNLV,PCAA,39,32.3,9.2,15.3,0.6,9.2,15.3,0.6,0.0,0.0,,4.7,6.5,0.728,9.3,0.9,1.4,0.9,1.8,2.4,23.2,6.09,/players/armen-gilliam-1.html,39,,,,
614,2001-02,Providence,Big East,24,31.5,5.5,9.8,0.559,5.5,9.7,0.567,0.0,0.1,0.0,2.8,4.6,0.613,7.8,1.5,1.4,0.7,1.5,2.6,13.8,4.55,/players/ryan-gomes-1.html,23,3.6,4.3,,
615,2002-03,Providence,Big East,32,36.0,6.7,12.4,0.537,6.7,12.3,0.541,0.0,0.1,0.0,5.1,6.1,0.84,9.7,2.1,1.7,0.8,2.4,2.2,18.4,7.83,/players/ryan-gomes-1.html,32,3.3,6.4,,
616,2003-04,Providence,Big East,29,34.8,6.6,13.1,0.507,5.6,10.1,0.558,1.0,3.0,0.333,4.6,5.3,0.87,9.4,2.3,1.6,0.1,2.6,2.1,18.9,8.21,/players/ryan-gomes-1.html,29,3.8,5.7,,
617,2004-05,Providence,Big East,31,37.5,8.0,16.1,0.496,6.3,11.6,0.54,1.7,4.4,0.38,4.0,5.2,0.77,8.2,3.2,1.5,0.2,2.5,1.6,21.6,8.87,/players/ryan-gomes-1.html,31,2.8,5.5,,
618,1999-00,Kansas,Big 12,33,20.8,4.3,9.6,0.451,4.2,9.1,0.458,0.2,0.5,0.313,1.8,2.8,0.659,7.5,1.1,0.7,0.8,2.2,2.2,10.6,9.79,/players/drew-gooden-1.html,8,,,,
619,2000-01,Kansas,Big 12,28,27.2,5.9,11.5,0.516,5.8,11.1,0.519,0.1,0.4,0.4,3.8,5.8,0.648,8.4,1.7,0.5,1.0,2.6,2.7,15.8,9.04,/players/drew-gooden-1.html,20,2.5,5.9,,
620,2001-02,Kansas,Big 12,37,30.2,7.7,15.3,0.504,7.4,14.3,0.519,0.3,1.0,0.278,4.2,5.5,0.755,11.4,2.0,1.8,1.4,2.9,2.5,19.8,9.36,/players/drew-gooden-1.html,36,3.4,8.0,,
621,2001-02,UConn,Big East,34,24.8,4.1,9.3,0.444,2.3,4.9,0.473,1.8,4.4,0.413,2.5,3.4,0.726,2.7,3.1,1.0,0.2,2.4,2.4,12.6,7.59,/players/ben-gordon-1.html,2,0.6,2.1,,
622,2002-03,UConn,Big East,33,33.4,6.4,14.4,0.443,4.0,8.6,0.46,2.4,5.8,0.419,4.3,5.4,0.808,4.2,4.7,1.2,0.2,3.4,2.2,19.5,7.63,/players/ben-gordon-1.html,33,0.9,3.3,,
623,2003-04,UConn,Big East,39,34.5,6.1,14.1,0.434,3.5,8.0,0.434,2.7,6.2,0.433,3.6,4.4,0.829,4.7,4.5,1.4,0.2,2.8,2.3,18.5,7.77,/players/ben-gordon-1.html,39,0.9,3.8,,
624,2007-08,Indiana,Big Ten,32,34.7,5.8,13.3,0.433,3.6,6.8,0.525,2.2,6.5,0.337,7.2,8.7,0.834,3.3,2.4,1.3,0.6,3.6,2.2,20.9,6.08,/players/eric-gordon-1.html,32,0.7,2.5,,
625,2001-02,Bradley,MVC,29,24.6,3.8,8.6,0.446,3.7,8.0,0.466,0.1,0.6,0.176,3.4,4.3,0.79,7.1,0.7,1.3,2.4,1.9,3.7,11.1,0.73,/players/danny-granger-1.html,17,2.7,4.4,,
626,2002-03,Bradley,MVC,14,27.1,7.1,13.6,0.518,6.6,12.2,0.544,0.4,1.4,0.3,4.6,6.8,0.684,7.9,1.1,1.4,1.4,2.2,3.9,19.2,1.19,/players/danny-granger-1.html,13,2.3,5.6,,
627,2003-04,New Mexico,MWC,22,32.0,6.2,12.6,0.491,5.1,9.3,0.546,1.1,3.3,0.333,6.0,8.0,0.76,9.0,2.1,1.3,1.4,2.7,3.1,19.5,3.76,/players/danny-granger-1.html,22,2.6,6.3,,
