,SEASON,SCHOOL,CONF,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,COLLEGE_URL
132,2012-13,Michigan,Big Ten,18,18,631,16.4,0.529,0.518,0.409,0.191,230,0.6,15.1,8.0,11.2,1.3,1.7,12.1,23.8,1.1,0.5,1.5,0.098,/players/tim-hardaway-jr-1.html
133,2012-13,Louisville,Big East,18,2,262,16.9,0.5,0.535,0.0,0.296,76,13.2,14.5,13.8,3.4,2.3,4.7,14.7,18.9,0.3,0.6,0.8,0.129,/players/montrezl-harrell-1.html
134,2013-14,Louisville,AAC,18,18,578,25.3,0.577,0.598,0.01,0.376,263,11.9,18.5,15.2,8.4,2.0,5.4,10.4,23.0,1.6,1.5,3.1,0.215,/players/montrezl-harrell-1.html
135,2014-15,Louisville,ACC,18,18,659,25.0,0.577,0.569,0.082,0.51,269,10.0,20.2,15.1,8.1,1.7,4.2,11.9,22.5,1.8,1.2,3.0,0.183,/players/montrezl-harrell-1.html
136,2018-19,Kentucky,SEC,18,18,612,21.2,0.625,0.565,0.398,0.309,246,1.2,14.6,8.4,13.6,1.6,0.6,11.7,21.3,2.0,1.1,3.0,0.198,/players/tyler-herro-1.html
137,2012-13,Oklahoma,Big 12,14,11,387,14.7,0.464,0.425,0.354,0.186,127,7.9,11.8,9.9,16.8,2.6,0.9,14.6,19.1,0.5,0.3,0.9,0.091,/players/buddy-hield-1.html
138,2013-14,Oklahoma,Big 12,18,18,602,21.8,0.607,0.592,0.602,0.135,281,5.4,9.6,7.5,12.5,2.7,0.3,11.3,24.0,1.7,0.6,2.3,0.153,/players/buddy-hield-1.html
139,2014-15,Oklahoma,Big 12,18,18,602,23.7,0.569,0.529,0.48,0.301,306,6.2,12.7,9.6,12.8,2.7,0.5,13.1,28.7,1.7,1.0,2.8,0.185,/players/buddy-hield-1.html
140,2015-16,Oklahoma,Big 12,18,18,668,26.0,0.652,0.614,0.586,0.288,389,2.5,13.5,8.2,15.4,1.7,1.5,15.3,30.4,2.4,0.8,3.3,0.195,/players/buddy-hield-1.html
141,2010-11,Washington,Pac-10,18,18,531,16.8,0.558,0.538,0.525,0.165,192,6.4,12.5,9.4,14.4,1.0,3.6,14.1,17.8,1.2,0.5,1.8,0.134,/players/justin-holiday-1.html
