,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%,Trp Dbl
132,2002-03,28.0,POR,NBA,PG,2.0,2.0,22.0,1.0,4.0,0.25,0.0,1.0,1.0,3.0,0.333,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,/players/a/anderde01.html,0.0,
133,2005-06,31.0,MIA,NBA,SG,8.0,0.0,66.0,6.0,20.0,0.3,5.0,14.0,1.0,6.0,0.167,0.425,7.0,8.0,0.875,0.0,9.0,9.0,5.0,2.0,0.0,3.0,13.0,24.0,/players/a/anderde01.html,0.357,
134,1992-93,22.0,NYK,NBA,PF,2.0,0.0,6.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,/players/a/anderer01.html,,
135,1987-88,23.0,SAS,NBA,PF,3.0,3.0,95.0,17.0,36.0,0.472,0.0,0.0,17.0,36.0,0.472,0.472,4.0,9.0,0.444,6.0,15.0,21.0,3.0,2.0,4.0,10.0,10.0,38.0,/players/a/andergr01.html,,
136,1989-90,25.0,MIL,NBA,PF,4.0,0.0,101.0,13.0,19.0,0.684,0.0,0.0,13.0,19.0,0.684,0.684,7.0,14.0,0.5,6.0,18.0,24.0,0.0,1.0,4.0,4.0,19.0,33.0,/players/a/andergr01.html,,
137,1994-95,30.0,ATL,NBA,PF,3.0,0.0,39.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,3.0,4.0,0.75,1.0,12.0,13.0,2.0,2.0,2.0,0.0,9.0,5.0,/players/a/andergr01.html,,
138,1995-96,31.0,SAS,NBA,PF,6.0,0.0,34.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,0.0,2.0,1.0,4.0,5.0,1.0,/players/a/andergr01.html,,
139,1997-98,33.0,ATL,NBA,C,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,/players/a/andergr01.html,,
140,1987-88,23.0,SAS,NBA,PF,3.0,3.0,95.0,17.0,36.0,0.472,0.0,0.0,17.0,36.0,0.472,0.472,4.0,9.0,0.444,6.0,15.0,21.0,3.0,2.0,4.0,10.0,10.0,38.0,/players/a/andergr01.html,,
141,1989-90,25.0,MIL,NBA,PF,4.0,0.0,101.0,13.0,19.0,0.684,0.0,0.0,13.0,19.0,0.684,0.684,7.0,14.0,0.5,6.0,18.0,24.0,0.0,1.0,4.0,4.0,19.0,33.0,/players/a/andergr01.html,,
142,1994-95,30.0,ATL,NBA,PF,3.0,0.0,39.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,3.0,4.0,0.75,1.0,12.0,13.0,2.0,2.0,2.0,0.0,9.0,5.0,/players/a/andergr01.html,,
143,1995-96,31.0,SAS,NBA,PF,6.0,0.0,34.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,0.0,2.0,1.0,4.0,5.0,1.0,/players/a/andergr01.html,,
144,1997-98,33.0,ATL,NBA,C,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,/players/a/andergr01.html,,
