,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
34,2021-22,24.0,MIA,NBA,C,14.0,14.0,32.9,5.6,9.1,0.609,0.0,0.1,5.6,9.1,0.614,0.609,3.7,4.7,0.788,1.6,6.1,7.7,2.8,1.2,0.9,2.1,3.1,14.9,/players/a/adebaba01.html,0.0
35,2007-08,22.0,DET,NBA,SG,12.0,0.0,7.0,0.6,1.5,0.389,0.0,0.2,0.6,1.3,0.438,0.389,0.0,0.0,,0.0,0.4,0.4,0.5,0.3,0.0,0.1,0.4,1.2,/players/a/afflaar01.html,0.0
36,2008-09,23.0,DET,NBA,SG,4.0,0.0,16.5,2.5,5.3,0.476,0.5,2.5,2.0,2.8,0.727,0.524,0.8,1.3,0.6,0.3,0.5,0.8,0.3,0.0,0.5,0.8,2.3,6.3,/players/a/afflaar01.html,0.2
37,2009-10,24.0,DEN,NBA,SG,6.0,6.0,20.0,3.3,5.3,0.625,1.0,2.3,2.3,3.0,0.778,0.719,1.5,1.8,0.818,0.2,1.8,2.0,1.2,0.2,0.3,0.7,3.5,9.2,/players/a/afflaar01.html,0.429
38,2010-11,25.0,DEN,NBA,SG,3.0,3.0,28.3,4.0,11.3,0.353,1.0,4.0,3.0,7.3,0.409,0.397,2.3,2.7,0.875,0.0,3.0,3.0,2.3,0.0,0.0,1.0,3.3,11.3,/players/a/afflaar01.html,0.25
39,2011-12,26.0,DEN,NBA,SG,7.0,7.0,32.7,4.3,10.6,0.405,0.6,2.9,3.7,7.7,0.481,0.432,1.7,2.1,0.8,0.7,2.9,3.6,2.7,0.7,0.3,1.3,2.0,10.9,/players/a/afflaar01.html,0.2
40,2014-15,29.0,POR,NBA,SG,3.0,3.0,20.0,0.7,4.0,0.167,0.3,1.3,0.3,2.7,0.125,0.208,0.0,0.3,0.0,0.0,2.3,2.3,0.7,0.0,0.0,1.0,2.0,1.7,/players/a/afflaar01.html,0.25
41,2006-07,22.0,DAL,NBA,SG,3.0,0.0,8.0,1.7,3.0,0.556,0.7,1.0,1.0,2.0,0.5,0.667,1.0,2.0,0.5,0.3,0.7,1.0,0.0,0.0,0.0,0.0,1.0,5.0,/players/a/agerma01.html,0.667
42,2011-12,27.0,UTA,NBA,PG,3.0,0.0,2.7,0.7,1.0,0.667,0.3,0.3,0.3,0.7,0.5,0.833,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.7,/players/a/ahearbl01.html,1.0
43,2014-15,26.0,NOP,NBA,C,3.0,0.0,3.3,1.3,1.3,1.0,0.0,0.0,1.3,1.3,1.0,1.0,0.0,0.0,,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.7,2.7,/players/a/ajincal01.html,
