,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS,OWS,DWS,WS,WS/40,PER,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OBPM,DBPM,BPM
11,1995-96,Virginia,ACC,27.0,727.0,0.55,0.517,0.116,0.272,11.9,/players/courtney-alexander-1.html,,1.8,1.1,2.9,0.158,,,,,,,,,,,,
12,1996-97,Virginia,ACC,26.0,732.0,0.511,0.479,0.266,0.234,7.6,/players/courtney-alexander-1.html,20.0,1.2,0.8,2.0,0.107,,,,,,,,,,,,
13,1998-99,Fresno State,WAC,32.0,1023.0,0.543,0.513,0.281,0.249,10.8,/players/courtney-alexander-1.html,,2.7,1.0,3.7,0.144,,,,,,,,,,,,
14,1999-00,Fresno State,WAC,27.0,974.0,0.532,0.498,0.31,0.243,9.6,/players/courtney-alexander-1.html,27.0,2.3,0.8,3.0,0.125,,,,,,,,,,,,
15,1988-89,LSU,SEC,32.0,1180.0,0.579,0.543,0.292,0.271,11.9,/players/mahmoud-abdul-rauf-1.html,,,,,,,,,,,,,,,,,
16,1989-90,LSU,SEC,32.0,1202.0,0.584,0.527,0.372,0.317,13.3,/players/mahmoud-abdul-rauf-1.html,,,,,,,,,,,,,,,,,
17,1995-96,California,Pac-10,28.0,972.0,0.571,0.528,0.053,0.626,14.4,/players/shareef-abdur-rahim-1.html,28.0,3.1,2.3,5.4,0.221,,,,,,,,,,,,
18,1981-82,Boston College,Big East,26.0,379.0,0.523,,,0.592,17.5,/players/michael-adams-1.html,0.0,,,,,,,,,,,,,,,,
19,1982-83,Boston College,Big East,32.0,1075.0,0.539,,,0.388,19.6,/players/michael-adams-1.html,,,,,,,,,,,,,,,,,
20,1983-84,Boston College,Big East,30.0,1026.0,0.509,,,0.401,15.5,/players/michael-adams-1.html,,,,,,,,,,,,,,,,,
21,1984-85,Boston College,Big East,31.0,1044.0,0.506,,,0.288,17.0,/players/michael-adams-1.html,,,,,,,,,,,,,,,,,
22,2012-13,Pitt,Big East,32.0,749.0,0.555,0.571,0.0,0.4,14.4,/players/steven-adams-1.html,32.0,1.6,1.9,3.5,0.185,23.2,228.0,15.3,21.0,18.0,5.4,1.9,11.2,17.7,4.0,4.2,8.1
23,2016-17,Kentucky,SEC,38.0,1145.0,0.624,0.599,0.0,0.831,13.9,/players/edrice-adebayo-1.html,38.0,3.3,2.3,5.6,0.196,22.0,488.0,11.1,17.3,14.2,4.7,1.2,4.9,18.5,4.5,3.6,8.2
24,2004-05,Texas,Big 12,16.0,355.0,0.67,0.663,0.0,0.779,19.2,/players/lamarcus-aldridge-1.html,16.0,1.3,1.2,2.5,0.286,,,,,14.6,8.0,,4.5,20.0,,,
25,2005-06,Texas,Big 12,37.0,1247.0,0.589,0.569,0.0,0.47,11.1,/players/lamarcus-aldridge-1.html,37.0,3.4,5.3,8.7,0.278,,,,,15.5,3.3,,4.1,21.1,,,
26,1995-96,Virginia,ACC,27.0,727.0,0.55,0.517,0.116,0.272,11.9,/players/courtney-alexander-1.html,,1.8,1.1,2.9,0.158,,,,,,,,,,,,
27,1996-97,Virginia,ACC,26.0,732.0,0.511,0.479,0.266,0.234,7.6,/players/courtney-alexander-1.html,20.0,1.2,0.8,2.0,0.107,,,,,,,,,,,,
28,1998-99,Fresno State,WAC,32.0,1023.0,0.543,0.513,0.281,0.249,10.8,/players/courtney-alexander-1.html,,2.7,1.0,3.7,0.144,,,,,,,,,,,,
29,1999-00,Fresno State,WAC,27.0,974.0,0.532,0.498,0.31,0.243,9.6,/players/courtney-alexander-1.html,27.0,2.3,0.8,3.0,0.125,,,,,,,,,,,,
30,2016-17,Texas,Big 12,33.0,1061.0,0.571,0.566,0.022,0.472,17.8,/players/jarrett-allen-1.html,33.0,1.5,1.7,3.3,0.124,20.3,428.0,10.9,18.9,14.9,5.7,1.0,5.0,22.6,2.6,2.6,5.2
31,1993-94,UConn,Big East,34.0,735.0,0.599,0.563,0.265,0.326,11.6,/players/ray-allen-1.html,0.0,,,,,,,,,,,,,,,,
32,1994-95,UConn,Big East,32.0,1051.0,0.589,0.571,0.367,0.211,10.0,/players/ray-allen-1.html,31.0,,,,,,,,,,,,,,,,
33,1995-96,UConn,Big East,35.0,1215.0,0.595,0.566,0.4,0.238,10.7,/players/ray-allen-1.html,35.0,5.0,3.3,8.3,0.274,,,,,,,,,,,,
34,2002-03,Oklahoma State,Big 12,32.0,998.0,0.527,0.488,0.208,0.416,17.1,/players/tony-allen-1.html,28.0,1.7,2.8,4.5,0.181,,,,,9.6,19.0,,1.7,26.1,,,
35,2003-04,Oklahoma State,Big 12,35.0,1107.0,0.564,0.531,0.183,0.479,16.5,/players/tony-allen-1.html,34.0,2.9,3.4,6.3,0.228,,,,,,,,,,,,
36,1992-93,Ohio State,Big Ten,22.0,587.0,0.562,0.484,0.222,0.563,20.0,/players/derek-anderson-1.html,8.0,,,,,,,,,,,,,,,,
37,1993-94,Ohio State,Big Ten,22.0,695.0,0.576,0.511,0.267,0.487,18.3,/players/derek-anderson-1.html,22.0,,,,,,,,,,,,,,,,
38,1995-96,Kentucky,SEC,36.0,700.0,0.605,0.559,0.257,0.443,15.5,/players/derek-anderson-1.html,24.0,2.0,2.0,4.1,0.233,,,,,,,,,,,,
39,1996-97,Kentucky,SEC,19.0,481.0,0.621,0.575,0.416,0.42,10.6,/players/derek-anderson-1.html,16.0,2.5,1.4,3.9,0.321,,,,,,,,,,,,
40,1983-84,Houston,SWC,35.0,414.0,0.495,,,0.356,10.6,/players/greg-anderson-1.html,,,,,,,,,,,,,,,,,
41,1984-85,Houston,SWC,30.0,931.0,0.571,,,0.375,14.4,/players/greg-anderson-1.html,30.0,,,,,,,,,,,,,,,,
42,1985-86,Houston,SWC,28.0,1055.0,0.58,,,0.481,14.8,/players/greg-anderson-1.html,,,,,,,,,,,,,,,,,
43,1986-87,Houston,SWC,30.0,1057.0,0.546,0.526,0.0,0.469,15.2,/players/greg-anderson-1.html,30.0,,,,,,,,,,,,,,,,
44,1983-84,Houston,SWC,35.0,414.0,0.495,,,0.356,10.6,/players/greg-anderson-1.html,,,,,,,,,,,,,,,,,
45,1984-85,Houston,SWC,30.0,931.0,0.571,,,0.375,14.4,/players/greg-anderson-1.html,30.0,,,,,,,,,,,,,,,,
46,1985-86,Houston,SWC,28.0,1055.0,0.58,,,0.481,14.8,/players/greg-anderson-1.html,,,,,,,,,,,,,,,,,
47,1986-87,Houston,SWC,30.0,1057.0,0.546,0.526,0.0,0.469,15.2,/players/greg-anderson-1.html,30.0,,,,,,,,,,,,,,,,
48,1989-90,Georgia Tech,ACC,35.0,1321.0,0.583,0.559,0.213,0.266,18.4,/players/kenny-anderson-1.html,35.0,,,,,,,,,,,,,,,,
49,1990-91,Georgia Tech,ACC,30.0,1167.0,0.535,0.488,0.291,0.294,13.5,/players/kenny-anderson-1.html,29.0,,,,,,,,,,,,,,,,
50,2006-07,California,Pac-10,33.0,1096.0,0.588,0.549,0.383,0.325,9.3,/players/ryan-anderson-1.html,33.0,3.1,1.6,4.7,0.171,,,,,,,,,,,,
51,2007-08,California,Pac-10,33.0,1082.0,0.618,0.559,0.333,0.424,11.6,/players/ryan-anderson-1.html,33.0,4.4,1.1,5.5,0.204,,,,,17.9,9.7,,1.1,29.4,,,
52,1992-93,Georgia,SEC,29.0,554.0,0.54,0.515,0.129,0.522,20.6,/players/shandon-anderson-1.html,0.0,,,,,,,,,,,,,,,,
53,1993-94,Georgia,SEC,30.0,859.0,0.528,0.494,0.105,0.435,21.8,/players/shandon-anderson-1.html,30.0,,,,,,,,,,,,,,,,
54,1994-95,Georgia,SEC,28.0,861.0,0.515,0.5,0.168,0.302,19.5,/players/shandon-anderson-1.html,29.0,,,,,,,,,,,,,,,,
55,1995-96,Georgia,SEC,31.0,878.0,0.585,0.563,0.159,0.437,16.5,/players/shandon-anderson-1.html,31.0,2.7,2.3,5.0,0.226,,,,,,,,,,,,
56,1984-85,Georgia,SEC,13.0,80.0,0.502,,,0.205,15.7,/players/willie-anderson-1.html,,,,,,,,,,,,,,,,,
57,1985-86,Georgia,SEC,29.0,493.0,0.544,,,0.31,18.4,/players/willie-anderson-1.html,0.0,,,,,,,,,,,,,,,,
58,1986-87,Georgia,SEC,30.0,1047.0,0.567,0.533,0.171,0.259,21.5,/players/willie-anderson-1.html,29.0,,,,,,,,,,,,,,,,
59,1987-88,Georgia,SEC,35.0,1161.0,0.543,0.51,0.091,0.241,19.4,/players/willie-anderson-1.html,,,,,,,,,,,,,,,,,
60,2017-18,Dayton,A-10,29.0,438.0,0.575,0.584,0.149,0.634,22.9,/players/kostas-antetokounmpo-1.html,6.0,0.2,0.5,0.7,0.062,13.7,142.0,7.3,16.9,12.3,5.9,1.0,8.3,20.9,-3.3,1.2,-2.1
61,2002-03,Syracuse,Big East,35.0,1274.0,0.537,0.498,0.271,0.389,9.6,/players/carmelo-anthony-1.html,35.0,2.7,3.1,5.8,0.183,,,,,14.0,11.9,,1.5,29.3,,,
62,2004-05,UNLV,MWC,31.0,423.0,0.502,0.5,0.0,0.659,16.0,/players/joel-anthony-1.html,3.0,0.1,1.2,1.3,0.12,,,,,,,,,,,,
63,2006-07,UNLV,MWC,37.0,669.0,0.603,0.597,0.0,0.396,15.9,/players/joel-anthony-1.html,6.0,1.2,3.5,4.7,0.283,,,,,,,,,,,,
64,2015-16,Indiana,Big Ten,34.0,466.0,0.607,0.625,0.25,0.362,17.1,/players/og-anunoby-1.html,0.0,1.0,0.9,1.9,0.159,20.1,162.0,11.3,11.8,11.6,6.6,3.4,5.6,17.4,3.8,4.2,8.0
65,2016-17,Indiana,Big Ten,16.0,402.0,0.611,0.615,0.369,0.393,15.2,/players/og-anunoby-1.html,10.0,1.1,0.7,1.7,0.172,23.8,167.0,8.5,16.1,12.5,11.0,3.0,5.5,20.8,5.4,3.5,8.9
66,1999-00,Arizona,Pac-10,34.0,1093.0,0.541,0.499,0.315,0.358,15.3,/players/gilbert-arenas-1.html,31.0,2.2,2.1,4.3,0.156,,,,,,,,,,,,
67,2000-01,Arizona,Pac-10,36.0,1044.0,0.585,0.559,0.382,0.309,16.9,/players/gilbert-arenas-1.html,33.0,3.2,2.3,5.5,0.211,,,,,,,,,,,,
68,2003-04,UCLA,Pac-10,25.0,789.0,0.474,0.462,0.303,0.45,21.0,/players/trevor-ariza-1.html,23.0,0.2,0.8,1.0,0.052,,,,,,,,,,,,
69,1985-86,Iowa,Big Ten,29.0,232.0,0.546,,,0.318,20.0,/players/bj-armstrong-1.html,3.0,,,,,,,,,,,,,,,,
70,1986-87,Iowa,Big Ten,35.0,995.0,0.612,0.566,0.183,0.427,18.8,/players/bj-armstrong-1.html,35.0,,,,,,,,,,,,,,,,
71,1987-88,Iowa,Big Ten,34.0,1023.0,0.604,0.556,0.325,0.347,13.6,/players/bj-armstrong-1.html,34.0,,,,,,,,,,,,,,,,
72,1988-89,Iowa,Big Ten,32.0,1015.0,0.603,0.541,0.288,0.476,13.5,/players/bj-armstrong-1.html,31.0,,,,,,,,,,,,,,,,
73,1992-93,South Florida,Metro,27.0,867.0,0.539,0.518,0.457,0.326,24.5,/players/chucky-atkins-1.html,27.0,,,,,,,,,,,,,,,,
74,1993-94,South Florida,Metro,26.0,787.0,0.477,0.426,0.498,0.349,17.2,/players/chucky-atkins-1.html,25.0,,,,,,,,,,,,,,,,
75,1994-95,South Florida,Metro,30.0,1067.0,0.558,0.522,0.563,0.337,18.1,/players/chucky-atkins-1.html,,,,,,,,,,,,,,,,,
76,1995-96,South Florida,CUSA,28.0,1064.0,0.573,0.533,0.543,0.348,16.3,/players/chucky-atkins-1.html,,3.3,1.3,4.6,0.173,,,,,,,,,,,,
77,1987-88,UNLV,PCAA,34.0,884.0,0.6,0.578,0.01,0.569,21.3,/players/stacey-augmon-1.html,,,,,,,,,,,,,,,,,
78,1988-89,UNLV,Big West,37.0,1091.0,0.589,0.569,0.242,0.395,15.6,/players/stacey-augmon-1.html,36.0,,,,,,,,,,,,,,,,
79,1989-90,UNLV,Big West,39.0,1246.0,0.597,0.574,0.132,0.463,16.4,/players/stacey-augmon-1.html,,,,,,,,,,,,,,,,,
80,1990-91,UNLV,Big West,35.0,1062.0,0.656,0.637,0.216,0.371,12.3,/players/stacey-augmon-1.html,,,,,,,,,,,,,,,,,
81,2006-07,Texas,Big 12,35.0,1245.0,0.588,0.515,0.297,0.522,21.2,/players/dj-augustin-1.html,35.0,2.8,2.0,4.7,0.152,,,,,4.2,34.3,,0.2,20.9,,,
82,2007-08,Texas,Big 12,38.0,1417.0,0.557,0.506,0.352,0.401,13.8,/players/dj-augustin-1.html,38.0,3.4,2.6,6.0,0.169,,,,,,,,,,,,
83,1989-90,Arizona State,Pac-10,31.0,848.0,0.572,0.547,0.003,0.5,17.2,/players/isaac-austin-1.html,,,,,,,,,,,,,,,,,
84,1990-91,Arizona State,Pac-10,30.0,906.0,0.59,0.571,0.003,0.538,15.3,/players/isaac-austin-1.html,,,,,,,,,,,,,,,,,
85,2005-06,Arizona State,Pac-10,27.0,688.0,0.536,0.494,0.009,0.382,15.9,/players/jeff-pendergraph-1.html,22.0,1.1,0.9,1.9,0.113,,,,,14.8,5.4,,2.6,24.5,,,
86,2006-07,Arizona State,Pac-10,30.0,1007.0,0.585,0.551,0.019,0.38,18.4,/players/jeff-pendergraph-1.html,29.0,2.3,2.0,4.4,0.173,,,,,17.2,6.8,,1.8,20.9,,,
87,2007-08,Arizona State,Pac-10,34.0,967.0,0.644,0.593,0.004,0.562,17.0,/players/jeff-pendergraph-1.html,34.0,3.5,2.0,5.5,0.228,,,,,15.0,7.6,,4.6,23.5,,,
88,2008-09,Arizona State,Pac-10,35.0,1139.0,0.69,0.66,0.003,0.483,10.4,/players/jeff-pendergraph-1.html,35.0,5.1,2.3,7.3,0.258,,,,,16.8,6.7,,2.3,21.1,,,
89,2017-18,Arizona,Pac-12,35.0,1172.0,0.65,0.625,0.078,0.424,11.3,/players/deandre-ayton-1.html,35.0,5.5,2.1,7.6,0.259,32.6,666.0,13.5,28.2,21.4,10.2,1.0,6.1,26.6,8.6,2.4,11.0
90,2017-18,Duke,ACC,33.0,1118.0,0.643,0.64,0.132,0.475,12.2,/players/marvin-bagleyiii-1.html,32.0,4.8,2.1,6.9,0.248,30.6,630.0,13.8,21.5,17.9,8.8,1.4,2.6,26.3,8.8,2.0,10.8
91,1989-90,Hartford,NAC,28.0,374.0,0.582,0.617,0.0,0.436,19.2,/players/vin-baker-1.html,,,,,,,,,,,,,,,,,
92,1990-91,Hartford,NAC,29.0,899.0,0.531,0.491,0.0,0.459,13.1,/players/vin-baker-1.html,29.0,,,,,,,,,,,,,,,,
93,1991-92,Hartford,NAC,27.0,997.0,0.503,0.473,0.194,0.339,10.6,/players/vin-baker-1.html,27.0,,,,,,,,,,,,,,,,
94,1992-93,Hartford,NAC,28.0,1019.0,0.526,0.502,0.186,0.376,9.7,/players/vin-baker-1.html,28.0,,,,,,,,,,,,,,,,
95,2016-17,UCLA,Pac-12,36.0,1263.0,0.673,0.668,0.566,0.286,18.6,/players/lonzo-ball-1.html,36.0,4.8,2.0,6.8,0.214,24.7,608.0,3.2,14.3,9.3,31.4,2.8,2.1,18.1,8.1,3.9,12.0
96,2016-17,TCU,Big 12,39.0,807.0,0.617,0.591,0.399,0.283,14.8,/players/desmond-bane-1.html,13.0,1.5,0.8,2.3,0.115,14.1,246.0,4.0,12.5,8.3,8.5,0.9,1.2,16.3,1.7,1.4,3.0
97,2017-18,TCU,Big 12,33.0,1005.0,0.671,0.649,0.476,0.305,15.8,/players/desmond-bane-1.html,32.0,2.6,0.9,3.5,0.14,18.0,369.0,1.9,14.1,8.1,14.0,1.8,0.8,18.1,4.1,2.0,6.1
98,2018-19,TCU,Big 12,37.0,1315.0,0.607,0.582,0.374,0.175,9.6,/players/desmond-bane-1.html,37.0,3.7,1.9,5.7,0.173,20.1,512.0,4.4,13.9,9.2,13.6,1.8,1.6,19.5,5.2,2.8,7.9
99,2019-20,TCU,Big 12,32.0,1152.0,0.573,0.557,0.477,0.131,13.8,/players/desmond-bane-1.html,32.0,3.4,1.9,5.3,0.183,22.6,507.0,4.6,16.3,10.4,26.0,2.5,1.6,24.4,7.1,2.6,9.8
100,2002-03,Northeastern,AEC,28.0,901.0,0.523,0.469,0.392,0.371,14.8,/players/jose-barea-1.html,28.0,1.5,1.2,2.7,0.12,,,,,,,,,,,,
101,2003-04,Northeastern,AEC,26.0,890.0,0.502,0.464,0.437,0.313,12.6,/players/jose-barea-1.html,25.0,1.2,1.4,2.6,0.117,,,,,5.5,38.2,,0.0,31.3,,,
102,2004-05,Northeastern,AEC,30.0,996.0,0.523,0.48,0.381,0.3,17.4,/players/jose-barea-1.html,30.0,2.2,1.7,4.0,0.159,,,,,6.8,52.1,,0.0,37.6,,,
103,2005-06,Northeastern,CAA,29.0,974.0,0.508,0.464,0.435,0.316,18.5,/players/jose-barea-1.html,29.0,1.5,1.4,3.0,0.122,,,,,7.0,54.2,,0.0,36.8,,,
104,2010-11,UNC,ACC,37.0,1087.0,0.52,0.488,0.392,0.249,11.5,/players/harrison-barnes-1.html,36.0,2.5,1.8,4.3,0.159,19.4,524.0,7.2,12.8,10.1,9.5,1.4,1.4,26.6,5.0,2.3,7.3
105,2011-12,UNC,ACC,38.0,1111.0,0.528,0.487,0.263,0.374,10.8,/players/harrison-barnes-1.html,37.0,3.1,1.9,5.0,0.181,21.2,571.0,6.9,11.9,9.4,7.2,2.0,1.1,28.1,4.5,2.3,6.8
106,1998-99,UCLA,Pac-10,30.0,394.0,0.488,0.485,0.343,0.465,19.9,/players/matt-barnes-1.html,8.0,0.2,0.8,1.0,0.103,,,,,,,,,,,,
107,1999-00,UCLA,Pac-10,28.0,413.0,0.492,0.489,0.232,0.312,18.5,/players/matt-barnes-1.html,1.0,0.3,0.7,1.0,0.097,,,,,,,,,,,,
108,2000-01,UCLA,Pac-10,32.0,971.0,0.506,0.483,0.084,0.498,19.2,/players/matt-barnes-1.html,26.0,0.8,2.0,2.9,0.118,,,,,,,,,,,,
109,2001-02,UCLA,Pac-10,31.0,953.0,0.554,0.537,0.319,0.365,18.7,/players/matt-barnes-1.html,31.0,1.9,1.1,3.0,0.126,,,,,11.5,21.8,,0.7,23.9,,,
110,2020-21,Florida State,ACC,24.0,595.0,0.548,0.531,0.205,0.338,20.7,/players/scottie-barnes-1.html,7.0,1.5,1.0,2.4,0.164,21.4,283.0,7.4,11.1,9.3,31.6,3.4,2.1,23.7,4.3,3.6,7.9
111,1985-86,Boston College,Big East,28.0,971.0,0.518,,,0.261,12.1,/players/dana-barros-1.html,28.0,,,,,,,,,,,,,,,,
112,1986-87,Boston College,Big East,29.0,1145.0,0.576,0.54,0.408,0.236,14.0,/players/dana-barros-1.html,29.0,,,,,,,,,,,,,,,,
113,1987-88,Boston College,Big East,33.0,1223.0,0.627,0.588,0.476,0.304,11.6,/players/dana-barros-1.html,,,,,,,,,,,,,,,,,
114,1988-89,Boston College,Big East,29.0,1021.0,0.629,0.591,0.539,0.289,10.3,/players/dana-barros-1.html,,,,,,,,,,,,,,,,,
115,1991-92,Oregon State,Pac-10,31.0,545.0,0.531,0.511,0.566,0.243,26.3,/players/brent-barry-1.html,13.0,,,,,,,,,,,,,,,,
116,1992-93,Oregon State,Pac-10,23.0,607.0,0.528,0.466,0.478,0.351,32.7,/players/brent-barry-1.html,17.0,,,,,,,,,,,,,,,,
117,1993-94,Oregon State,Pac-10,27.0,959.0,0.601,0.564,0.36,0.388,21.4,/players/brent-barry-1.html,27.0,,,,,,,,,,,,,,,,
118,1994-95,Oregon State,Pac-10,27.0,1012.0,0.644,0.588,0.375,0.528,16.3,/players/brent-barry-1.html,,,,,,,,,,,,,,,,,
119,1997-98,Duke,ACC,36.0,886.0,0.6,0.551,0.135,0.607,,/players/shane-battier-1.html,20.0,1.7,4.7,6.4,0.288,,,,,,,,,,,,
120,1998-99,Duke,ACC,37.0,881.0,0.661,0.639,0.45,0.469,11.1,/players/shane-battier-1.html,27.0,2.6,3.2,5.8,0.263,,,,,,,,,,,,
121,1999-00,Duke,ACC,34.0,1206.0,0.643,0.599,0.465,0.428,8.7,/players/shane-battier-1.html,34.0,4.3,3.3,7.5,0.25,,,,,,,,,,,,
122,2000-01,Duke,ACC,39.0,1363.0,0.624,0.587,0.555,0.358,8.8,/players/shane-battier-1.html,39.0,4.9,5.3,10.1,0.298,,,,,,,,,,,,
123,2005-06,Washington State,Pac-10,28.0,462.0,0.457,0.429,0.007,0.279,16.8,/players/aron-baynes-1.html,12.0,-0.1,0.9,0.8,0.072,,,,,15.6,1.6,,2.2,23.2,,,
124,2006-07,Washington State,Pac-10,26.0,426.0,0.541,0.495,0.0,0.699,9.5,/players/aron-baynes-1.html,7.0,0.5,0.8,1.4,0.128,,,,,,,,,,,,
125,2007-08,Washington State,Pac-10,35.0,840.0,0.622,0.6,0.004,0.64,15.3,/players/aron-baynes-1.html,34.0,2.9,2.8,5.6,0.268,,,,,,,,,,,,
126,2008-09,Washington State,Pac-10,33.0,951.0,0.63,0.581,0.004,0.553,13.9,/players/aron-baynes-1.html,33.0,3.8,2.7,6.5,0.272,,,,,,,,,,,,
127,2011-12,Florida,SEC,37.0,1267.0,0.575,0.525,0.473,0.44,14.3,/players/bradley-beal-1.html,37.0,3.6,2.1,5.7,0.18,22.0,522.0,4.8,20.3,12.3,12.7,2.5,2.6,23.0,5.4,2.9,8.4
128,2007-08,Kansas State,Big 12,33.0,1041.0,0.61,0.563,0.165,0.484,11.8,/players/michael-beasley-1.html,33.0,5.4,5.4,10.7,0.413,,,,,21.3,9.3,,3.7,35.0,,,
129,1983-84,Memphis,Metro,26.0,684.0,0.576,,,0.299,12.3,/players/william-bedford-1.html,,,,,,,,,,,,,,,,,
130,1984-85,Memphis,Metro,35.0,1099.0,0.564,,,0.306,15.1,/players/william-bedford-1.html,,,,,,,,,,,,,,,,,
131,1985-86,Memphis,Metro,32.0,1038.0,0.596,,,0.401,9.9,/players/william-bedford-1.html,,,,,,,,,,,,,,,,,
132,2014-15,Oregon,Pac-12,35.0,831.0,0.594,0.597,0.0,0.151,19.8,/players/jordan-bell-1.html,20.0,1.3,1.6,2.9,0.139,19.2,205.0,9.6,19.3,14.7,9.8,2.0,11.5,11.5,1.5,5.5,7.1
133,2015-16,Oregon,Pac-12,31.0,636.0,0.572,0.576,0.013,0.342,21.4,/players/jordan-bell-1.html,4.0,0.8,1.5,2.3,0.143,20.1,215.0,8.5,20.8,14.8,11.1,3.1,8.6,18.1,1.6,5.4,7.0
134,2016-17,Oregon,Pac-12,39.0,1124.0,0.658,0.641,0.052,0.435,18.8,/players/jordan-bell-1.html,38.0,3.2,3.0,6.2,0.222,26.4,445.0,12.2,22.4,17.6,11.4,2.5,8.5,18.0,5.3,5.5,10.8
135,1994-95,Boston University,NAC,30.0,866.0,0.498,0.462,0.265,0.278,16.9,/players/raja-bell-1.html,23.0,,,,,,,,,,,,,,,,
136,1995-96,Boston University,NAC,28.0,932.0,0.535,0.482,0.311,0.194,14.4,/players/raja-bell-1.html,27.0,0.8,1.2,2.1,0.089,,,,,,,,,,,,
137,1997-98,Florida International,TAAC,29.0,856.0,0.544,0.495,0.324,0.391,,/players/raja-bell-1.html,,1.8,1.0,2.8,0.132,,,,,,,,,,,,
138,1998-99,Florida International,Sun Belt,29.0,1011.0,0.561,0.522,0.377,0.374,15.0,/players/raja-bell-1.html,,2.6,0.5,3.1,0.123,,,,,,,,,,,,
139,2006-07,Arkansas,SEC,35.0,1203.0,0.582,0.531,0.538,0.393,14.4,/players/patrick-beverley-1.html,34.0,2.8,1.9,4.6,0.154,,,,,7.7,18.2,,0.8,20.4,,,
140,2007-08,Arkansas,SEC,35.0,1183.0,0.537,0.511,0.521,0.4,14.9,/players/patrick-beverley-1.html,33.0,1.5,2.1,3.6,0.121,,,,,11.4,12.9,,1.0,19.0,,,
141,2018-19,Villanova,Big East,36.0,1064.0,0.571,0.561,0.55,0.189,9.7,/players/saddiq-bey-1.html,29.0,2.4,1.2,3.6,0.134,15.7,303.0,8.3,12.2,10.2,8.6,1.8,1.4,14.4,3.6,1.9,5.5
142,2019-20,Villanova,Big East,31.0,1051.0,0.608,0.584,0.477,0.248,10.1,/players/saddiq-bey-1.html,31.0,3.6,1.4,4.9,0.188,21.6,464.0,4.5,11.4,8.0,14.9,1.4,1.1,22.8,6.2,1.9,8.1
143,1996-97,Arizona,Pac-10,34.0,1110.0,0.573,0.544,0.501,0.375,20.0,/players/mike-bibby-1.html,34.0,2.5,2.3,4.7,0.171,,,,,,,,,,,,
144,1997-98,Arizona,Pac-10,35.0,1119.0,0.582,0.55,0.442,0.318,13.1,/players/mike-bibby-1.html,35.0,3.2,2.2,5.3,0.19,,,,,,,,,,,,
145,1995-96,Colorado,Big 8,26.0,919.0,0.55,0.477,0.362,0.43,22.0,/players/chauncey-billups-1.html,25.0,2.0,0.4,2.5,0.107,,,,,,,,,,,,
146,1996-97,Colorado,Big 12,29.0,947.0,0.596,0.515,0.508,0.56,15.3,/players/chauncey-billups-1.html,29.0,3.7,2.1,5.8,0.245,,,,,,,,,,,,
147,2007-08,Pitt,Big East,37.0,963.0,0.559,0.537,0.0,0.476,15.6,/players/dejuan-blair-1.html,36.0,2.0,4.9,6.8,0.283,,,,,19.8,7.3,,3.0,23.5,,,
