SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
2014-15,28,NOP,NBA,C,4,4,19.8,0.5,2.5,0.2,0.0,0.0,0.5,2.5,0.2,0.2,1.0,1.8,0.571,3.0,4.3,7.3,1.5,1.3,0.0,1.3,2.5,2.0,/players/a/asikom01.html,0.0
1990-91,24,GSW,NBA,SG,6,0,6.8,1.0,2.5,0.4,0.0,0.0,1.0,2.5,0.4,0.4,0.5,1.0,0.5,0.8,1.0,1.8,0.3,0.3,0.0,0.0,1.0,2.5,/players/a/askewvi01.html,0.0
1991-92,25,GSW,NBA,SG,4,0,7.5,0.3,2.0,0.125,0.0,0.0,0.3,2.0,0.125,0.125,0.0,0.0,0.0,0.8,0.3,1.0,1.3,0.0,0.0,0.5,0.8,0.5,/players/a/askewvi01.html,0.0
1992-93,26,SEA,NBA,SG,12,0,8.6,1.9,3.4,0.561,0.0,0.0,1.9,3.4,0.561,0.561,1.3,1.9,0.696,0.8,0.8,1.6,0.8,0.1,0.1,0.6,1.0,5.2,/players/a/askewvi01.html,0.0
1993-94,27,SEA,NBA,SG,5,0,19.0,2.0,5.6,0.357,0.0,0.2,2.0,5.4,0.37,0.357,3.2,3.8,0.842,0.4,0.8,1.2,1.8,0.4,0.0,0.4,2.0,7.2,/players/a/askewvi01.html,0.0
1994-95,28,SEA,NBA,SG,4,0,23.3,3.0,7.3,0.414,1.0,1.3,2.0,6.0,0.333,0.483,0.5,0.8,0.667,2.8,1.0,3.8,2.0,0.8,0.0,0.8,3.5,7.5,/players/a/askewvi01.html,0.8
1995-96,29,SEA,NBA,SG,19,0,18.2,1.3,3.7,0.343,0.3,1.2,0.9,2.5,0.383,0.386,0.9,1.5,0.607,0.3,1.9,2.2,1.4,0.7,0.4,1.5,2.6,3.7,/players/a/askewvi01.html,0.261
1991-92,24,MIA,NBA,SF,3,0,16.0,1.7,3.7,0.455,1.0,1.7,0.7,2.0,0.333,0.591,0.0,0.7,0.0,1.3,1.7,3.0,1.0,0.3,0.0,0.3,2.3,4.3,/players/a/askinke01.html,0.6
1993-94,26,MIA,NBA,SF,1,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,/players/a/askinke01.html,0.0
1995-96,28,MIA,NBA,SF,3,0,16.0,1.3,3.7,0.364,0.7,2.0,0.7,1.7,0.4,0.455,1.0,1.0,1.0,1.0,1.7,2.7,0.7,0.3,0.0,1.3,3.0,4.3,/players/a/askinke01.html,0.333
1996-97,29,MIA,NBA,SF,12,0,12.2,0.8,1.9,0.435,0.5,1.0,0.3,0.9,0.364,0.565,0.3,0.3,1.0,0.9,1.4,2.3,0.6,0.3,0.2,0.3,2.2,2.5,/players/a/askinke01.html,0.5
1997-98,30,MIA,NBA,SF,4,0,14.5,0.5,1.8,0.286,0.3,1.3,0.3,0.5,0.5,0.357,0.0,0.0,0.0,0.3,1.5,1.8,0.3,0.5,0.0,0.3,2.3,1.3,/players/a/askinke01.html,0.2
1998-99,31,MIA,NBA,SF,4,0,6.8,0.0,1.0,0.0,0.0,0.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.3,0.0,1.3,0.0,/players/a/askinke01.html,0.0
2001-02,27,DET,NBA,PG,10,10,29.4,4.3,11.8,0.364,1.4,3.9,2.9,7.9,0.367,0.424,1.3,1.7,0.765,0.5,1.9,2.4,3.4,0.6,0.1,1.4,2.5,11.3,/players/a/atkinch01.html,0.359
2002-03,28,DET,NBA,PG,17,3,18.4,1.9,5.4,0.352,1.1,2.9,0.8,2.5,0.333,0.451,1.2,1.5,0.808,0.1,1.1,1.2,1.5,1.0,0.0,1.1,2.3,6.1,/players/a/atkinch01.html,0.367
2003-04,29,BOS,NBA,PG,4,4,33.3,4.3,9.8,0.436,0.8,2.5,3.5,7.3,0.483,0.474,4.3,4.8,0.895,0.8,2.8,3.5,3.8,0.8,0.0,2.5,0.5,13.5,/players/a/atkinch01.html,0.3
