SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
2011-12,26,DEN,NBA,SG,7,7,229.0,30.0,74.0,0.405,4.0,20.0,26.0,54.0,0.481,0.432,12.0,15.0,0.8,5.0,20.0,25.0,19.0,5.0,2.0,9.0,14.0,76.0,/players/a/afflaar01.html,0.2
2014-15,29,POR,NBA,SG,3,3,60.0,2.0,12.0,0.167,1.0,4.0,1.0,8.0,0.125,0.208,0.0,1.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,3.0,6.0,5.0,/players/a/afflaar01.html,0.25
2006-07,22,DAL,NBA,SG,3,0,24.0,5.0,9.0,0.556,2.0,3.0,3.0,6.0,0.5,0.667,3.0,6.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0,/players/a/agerma01.html,0.667
2011-12,27,UTA,NBA,PG,3,0,8.0,2.0,3.0,0.667,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,/players/a/ahearbl01.html,1.0
2014-15,26,NOP,NBA,C,3,0,10.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,8.0,/players/a/ajincal01.html,0.0
1986-87,23,DEN,NBA,PF,3,0,41.0,9.0,15.0,0.6,0.0,0.0,9.0,15.0,0.6,0.6,2.0,2.0,1.0,0.0,5.0,5.0,1.0,2.0,2.0,4.0,9.0,20.0,/players/a/alarima01.html,0.0
1987-88,24,WSB,NBA,PF,1,0,4.0,1.0,2.0,0.5,1.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,/players/a/alarima01.html,0.5
2011-12,23,OKC,NBA,C,5,0,25.0,4.0,9.0,0.444,0.0,0.0,4.0,9.0,0.444,0.444,2.0,4.0,0.5,5.0,8.0,13.0,0.0,0.0,0.0,0.0,3.0,10.0,/players/a/aldrico01.html,0.0
2015-16,27,LAC,NBA,C,6,0,77.0,10.0,15.0,0.667,0.0,0.0,10.0,15.0,0.667,0.667,3.0,6.0,0.5,8.0,22.0,30.0,3.0,6.0,3.0,2.0,11.0,23.0,/players/a/aldrico01.html,0.0
2008-09,23,POR,NBA,PF,6,6,237.0,51.0,104.0,0.49,1.0,4.0,50.0,100.0,0.5,0.495,14.0,20.0,0.7,9.0,36.0,45.0,8.0,3.0,10.0,10.0,16.0,117.0,/players/a/aldrila01.html,0.25
2009-10,24,POR,NBA,PF,6,6,229.0,40.0,93.0,0.43,1.0,2.0,39.0,91.0,0.429,0.435,33.0,44.0,0.75,10.0,26.0,36.0,13.0,7.0,11.0,11.0,16.0,114.0,/players/a/aldrila01.html,0.5
2010-11,25,POR,NBA,PF,6,6,258.0,53.0,115.0,0.461,0.0,0.0,53.0,115.0,0.461,0.461,19.0,24.0,0.792,16.0,29.0,45.0,8.0,8.0,10.0,9.0,19.0,125.0,/players/a/aldrila01.html,0.0
2013-14,28,POR,NBA,PF,11,11,441.0,113.0,250.0,0.452,2.0,3.0,111.0,247.0,0.449,0.456,60.0,75.0,0.8,30.0,87.0,117.0,16.0,7.0,18.0,19.0,40.0,288.0,/players/a/aldrila01.html,0.667
2014-15,29,POR,NBA,PF,5,5,208.0,37.0,112.0,0.33,3.0,11.0,34.0,101.0,0.337,0.344,32.0,36.0,0.889,21.0,35.0,56.0,9.0,2.0,12.0,8.0,16.0,109.0,/players/a/aldrila01.html,0.273
2015-16,30,SAS,NBA,PF,10,10,337.0,88.0,169.0,0.521,2.0,2.0,86.0,167.0,0.515,0.527,41.0,46.0,0.891,22.0,61.0,83.0,10.0,4.0,14.0,11.0,18.0,219.0,/players/a/aldrila01.html,1.0
