SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,URL
2014-15,26,NOP,NBA,C,3,10.0,42.0,1.0,0.0,0.0,0.0,10.9,5.6,26.9,5.2,0.0,0.0,18.3,0.1,0.0,0.1,0.367,10.9,7.9,18.8,0.1,/players/a/ajincal01.html
1986-87,23,DEN,NBA,PF,3,41.0,10.4,0.63,0.0,0.133,0.0,13.7,6.0,3.5,2.2,2.7,20.1,18.1,0.0,0.0,0.0,-0.033,-5.6,1.0,-4.5,0.0,/players/a/alarima01.html
1987-88,24,WSB,NBA,PF,1,4.0,28.9,0.75,1.0,0.0,0.0,29.6,14.8,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.329,18.4,2.8,21.2,0.0,/players/a/alarima01.html
2011-12,23,OKC,NBA,C,5,25.0,19.8,0.465,0.0,0.444,24.4,37.7,31.1,0.0,0.0,0.0,0.0,20.2,0.1,0.0,0.1,0.177,0.8,-5.8,-5.0,0.0,/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,6,77.0,21.4,0.652,0.0,0.4,10.4,28.1,19.3,6.0,4.0,3.3,10.2,11.4,0.2,0.2,0.4,0.254,1.1,3.3,4.4,0.1,/players/a/aldrico01.html
2008-09,23,POR,NBA,PF,6,237.0,18.6,0.519,0.038,0.192,4.4,20.9,11.9,7.0,0.7,3.6,8.1,26.3,0.2,0.2,0.3,0.069,1.5,-0.6,0.9,0.2,/players/a/aldrila01.html
2009-10,24,POR,NBA,PF,6,229.0,17.5,0.507,0.022,0.473,5.1,14.6,9.7,11.1,1.7,4.4,8.9,25.8,0.2,0.0,0.2,0.043,0.7,0.7,1.3,0.2,/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,6,258.0,19.2,0.498,0.0,0.209,7.9,13.5,10.8,6.4,1.8,3.5,6.7,26.6,0.3,0.1,0.4,0.073,1.4,-0.5,1.0,0.2,/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,11,441.0,21.0,0.509,0.012,0.3,7.5,21.2,14.4,7.0,0.8,3.0,6.3,30.1,0.6,0.3,0.9,0.097,2.7,-0.7,2.1,0.4,/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,5,208.0,16.7,0.426,0.098,0.321,10.8,18.4,14.6,8.4,0.5,3.8,5.9,29.9,0.0,0.2,0.1,0.032,1.7,-1.4,0.4,0.1,/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,10,337.0,25.0,0.579,0.012,0.272,8.0,19.7,14.2,5.4,0.6,3.3,5.5,27.7,1.0,0.5,1.6,0.223,3.5,0.2,3.6,0.5,/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,16,537.0,15.2,0.5,0.058,0.229,8.9,17.0,12.8,7.2,1.0,2.9,9.6,24.1,0.2,0.4,0.6,0.058,-0.9,-0.8,-1.7,0.0,/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,5,177.0,24.8,0.599,0.063,0.525,7.8,22.6,14.7,13.2,0.9,1.0,8.4,27.8,0.6,0.1,0.7,0.189,5.6,0.1,5.7,0.3,/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,7,244.0,21.8,0.517,0.091,0.273,8.4,21.1,14.8,13.1,1.1,2.3,4.9,27.0,0.5,0.2,0.7,0.13,2.5,-0.2,2.3,0.3,/players/a/aldrila01.html
1995-96,22,SAS,NBA,PG,9,70.0,11.6,0.48,0.208,0.292,7.1,8.4,7.8,22.2,1.6,0.0,18.1,22.8,0.0,0.0,0.0,-0.006,-1.4,-1.0,-2.5,0.0,/players/a/alexaco01.html
