,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
248,2014-15,New Mexico State,WAC,14,14,483,72,117,0.615,72,117,0.615,0,0,51,62,0.823,50,68,118,18,14,22,26,31,195,/players/pascal-siakam-1.html,0.0
249,2015-16,New Mexico State,WAC,14,14,486,107,196,0.546,105,191,0.55,2,5,47,74,0.635,57,116,173,29,16,39,27,41,263,/players/pascal-siakam-1.html,0.4
250,2015-16,LSU,SEC,18,17,647,117,213,0.549,117,212,0.552,0,1,128,193,0.663,50,153,203,85,35,9,69,52,362,/players/ben-simmons-1.html,0.0
251,2010-11,Duke,ACC,16,16,581,90,231,0.39,64,142,0.451,26,89,47,61,0.77,44,80,124,28,10,4,33,39,253,/players/kyle-singler-1.html,0.292
252,2012-13,Oklahoma State,Big 12,18,17,605,89,208,0.428,71,148,0.48,18,60,97,125,0.776,25,73,98,68,58,7,58,47,293,/players/marcus-smart-1.html,0.3
253,2013-14,Oklahoma State,Big 12,15,15,519,77,196,0.393,53,110,0.482,24,86,101,132,0.765,27,73,100,78,41,8,36,51,279,/players/marcus-smart-1.html,0.279
254,2016-17,NC State,ACC,18,18,641,109,234,0.466,77,143,0.538,32,91,77,117,0.658,20,70,90,112,35,8,67,40,327,/players/dennis-smithjr-1.html,0.352
255,2019-20,Washington,Pac-12,18,18,603,87,169,0.515,83,157,0.529,4,12,86,109,0.789,47,107,154,18,13,44,43,42,264,/players/isaiah-stewart-2.html,0.333
256,2014-15,Ohio State,Big Ten,18,12,436,77,125,0.616,75,111,0.676,2,14,36,65,0.554,37,53,90,6,13,9,17,44,192,/players/jaesean-tate-1.html,0.143
257,2015-16,Ohio State,Big Ten,15,15,447,76,144,0.528,71,129,0.55,5,15,22,41,0.537,31,57,88,24,15,3,21,48,179,/players/jaesean-tate-1.html,0.333
258,2016-17,Ohio State,Big Ten,18,18,570,103,195,0.528,97,171,0.567,6,24,42,75,0.56,30,81,111,39,22,10,44,62,254,/players/jaesean-tate-1.html,0.25
259,2017-18,Ohio State,Big Ten,18,18,557,91,163,0.558,85,143,0.594,6,20,43,67,0.642,24,86,110,52,22,14,38,52,231,/players/jaesean-tate-1.html,0.3
260,2016-17,Duke,ACC,18,18,605,98,221,0.443,68,141,0.482,30,80,64,75,0.853,26,104,130,40,21,18,50,52,290,/players/jayson-tatum-1.html,0.375
261,2010-11,Washington,Pac-10,18,18,589,92,213,0.432,58,115,0.504,34,98,85,112,0.759,12,52,64,121,22,1,60,46,303,/players/isaiah-thomas-1.html,0.347
262,2010-11,Washington State,Pac-10,17,16,606,117,286,0.409,66,161,0.41,51,125,68,80,0.85,19,79,98,63,25,21,66,54,353,/players/klay-thompson-1.html,0.408
263,2010-11,Texas,Big 12,16,16,501,83,149,0.557,83,149,0.557,0,0,68,137,0.496,56,66,122,23,11,40,29,45,234,/players/tristan-thompson-2.html,0.0
264,2015-16,Washington,Pac-12,18,18,480,43,108,0.398,21,49,0.429,22,59,25,34,0.735,18,41,59,28,22,16,26,62,133,/players/matisse-thybulle-1.html,0.373
265,2016-17,Washington,Pac-12,18,18,575,70,169,0.414,39,82,0.476,31,87,14,17,0.824,14,46,60,30,39,10,35,52,185,/players/matisse-thybulle-1.html,0.356
266,2017-18,Washington,Pac-12,18,18,586,70,153,0.458,38,77,0.494,32,76,19,29,0.655,18,38,56,42,49,22,35,48,191,/players/matisse-thybulle-1.html,0.421
267,2018-19,Washington,Pac-12,18,18,572,58,129,0.45,35,61,0.574,23,68,37,45,0.822,19,40,59,45,71,46,42,47,176,/players/matisse-thybulle-1.html,0.338
268,2014-15,Kentucky,SEC,18,18,388,70,120,0.583,69,117,0.59,1,3,53,65,0.815,42,75,117,22,8,43,21,61,194,/players/karl-anthony-towns-1.html,0.333
269,2014-15,Texas,Big 12,18,6,438,62,148,0.419,54,110,0.491,8,38,47,59,0.797,22,95,117,5,4,52,27,42,179,/players/myles-turner-1.html,0.211
270,2012-13,Wichita State,MVC,18,0,304,28,77,0.364,19,53,0.358,9,24,8,11,0.727,8,24,32,48,18,2,18,16,73,/players/fred-van-vleet-1.html,0.375
271,2013-14,Wichita State,MVC,18,18,562,68,137,0.496,49,90,0.544,19,47,68,82,0.829,20,59,79,97,33,2,23,35,223,/players/fred-van-vleet-1.html,0.404
272,2014-15,Wichita State,MVC,18,18,538,73,154,0.474,50,101,0.495,23,53,65,79,0.823,17,63,80,97,28,3,32,29,234,/players/fred-van-vleet-1.html,0.434
273,2015-16,Wichita State,MVC,18,18,531,72,177,0.407,45,111,0.405,27,66,55,63,0.873,6,59,65,115,32,2,29,31,226,/players/fred-van-vleet-1.html,0.409
274,2010-11,USC,Pac-10,18,18,633,133,246,0.541,113,199,0.568,20,47,64,82,0.78,55,139,194,20,10,18,21,47,350,/players/nikola-vucevic-1.html,0.426
275,2019-20,Michigan,Big Ten,20,20,651,93,205,0.454,61,98,0.622,32,107,42,51,0.824,20,104,124,23,26,14,30,51,260,/players/franz-wagner-1.html,0.299
276,2020-21,Michigan,Big Ten,17,17,557,84,168,0.5,58,104,0.558,26,64,39,47,0.83,12,92,104,49,25,20,22,34,233,/players/franz-wagner-1.html,0.406
