,NCAA_CHAMPION,CONSENSUS_AA,NCAA_ALL-REGION,HS_PARADE_AA,COLLEGE_URL
135,0.0,0.0,0.0,1.0,/players/demar-derozan-1.html
136,0.0,0.0,1.0,1.0,/players/bison-dele-1.html
137,0.0,0.0,0.0,0.0,/players/matthew-dellavedova-1.html
138,0.0,0.0,1.0,0.0,/players/fennis-dembo-1.html
139,0.0,0.0,1.0,1.0,/players/luol-deng-1.html
140,2.0,0.0,0.0,0.0,/players/donte-divincenzo-1.html
141,1.0,0.0,1.0,0.0,/players/mamadi-diakite-1.html
142,1.0,0.0,0.0,0.0,/players/michael-dickerson-1.html
143,1.0,0.0,2.0,0.0,/players/gorgui-dieng-1.html
144,0.0,0.0,1.0,0.0,/players/michael-doleac-1.html
145,0.0,1.0,0.0,0.0,/players/ayo-dosunmu-1.html
146,0.0,1.0,2.0,0.0,/players/sherman-douglas-1.html
147,0.0,0.0,0.0,0.0,/players/andre-drummond-1.html
148,0.0,0.0,0.0,0.0,/players/chris-duarte-1.html
149,0.0,0.0,0.0,0.0,/players/kevin-duckworth-1.html
150,0.0,1.0,0.0,0.0,/players/jared-dudley-1.html
151,0.0,0.0,0.0,0.0,/players/joe-dumars-1.html
152,0.0,0.0,0.0,1.0,/players/richard-dumas-1.html
153,0.0,2.0,2.0,0.0,/players/tim-duncan-1.html
154,0.0,1.0,0.0,1.0,/players/kevin-durant-1.html
155,1.0,0.0,1.0,0.0,/players/tyus-edney-1.html
156,0.0,0.0,0.0,0.0,/players/anthony-edwards-2.html
157,0.0,0.0,0.0,0.0,/players/blue-edwards-1.html
158,0.0,0.0,0.0,0.0,/players/kevin-edwards-1.html
159,0.0,2.0,2.0,0.0,/players/sean-elliott-1.html
160,0.0,0.0,0.0,1.0,/players/laphonso-ellis-1.html
161,1.0,1.0,1.0,0.0,/players/pervis-ellison-1.html
162,0.0,0.0,0.0,0.0,/players/francisco-elson-1.html
163,0.0,0.0,0.0,1.0,/players/melvin-ely-1.html
164,0.0,0.0,0.0,0.0,/players/joel-embiid-1.html
165,0.0,0.0,1.0,1.0,/players/tyreke-evans-1.html
166,1.0,3.0,3.0,1.0,/players/patrick-ewing-1.html
167,0.0,0.0,0.0,0.0,/players/festus-ezeli-1.html
168,0.0,1.0,0.0,0.0,/players/kenneth-faried-1.html
169,0.0,0.0,1.0,1.0,/players/jordan-farmar-1.html
170,0.0,0.0,0.0,1.0,/players/derrick-favors-1.html
171,1.0,0.0,0.0,1.0,/players/raymond-felton-1.html
172,0.0,0.0,1.0,0.0,/players/kevin-ferrell-1.html
173,0.0,2.0,2.0,1.0,/players/danny-ferry-1.html
174,0.0,0.0,0.0,0.0,/players/landry-fields-1.html
175,0.0,0.0,0.0,0.0,/players/michael-finley-1.html
176,0.0,0.0,0.0,0.0,/players/derek-fisher-1.html
177,0.0,1.0,1.0,1.0,/players/marcus-fizer-1.html
178,0.0,0.0,1.0,1.0,/players/jonny-flynn-1.html
179,0.0,0.0,0.0,0.0,/players/bryn-forbes-1.html
180,0.0,1.0,1.0,1.0,/players/tj-ford-1.html
181,0.0,0.0,0.0,0.0,/players/greg-foster-1.html
182,0.0,0.0,0.0,1.0,/players/tremaine-fowlkes-1.html
183,0.0,0.0,1.0,0.0,/players/rick-fox-1.html
184,0.0,1.0,2.0,0.0,/players/randy-foye-1.html
185,0.0,1.0,0.0,0.0,/players/steve-francis-1.html
186,0.0,0.0,1.0,1.0,/players/channing-frye-1.html
187,0.0,0.0,0.0,0.0,/players/langston-galloway-1.html
188,0.0,0.0,0.0,0.0,/players/darius-garland-1.html
189,0.0,0.0,0.0,0.0,/players/chris-gatling-1.html
190,0.0,1.0,1.0,1.0,/players/rudy-gay-1.html
191,0.0,0.0,1.0,0.0,/players/andrew-gaze-1.html
192,0.0,0.0,0.0,0.0,/players/paul-george-1.html
193,0.0,0.0,0.0,0.0,/players/taj-gibson-1.html
194,0.0,0.0,0.0,0.0,/players/shai-gilgeous-alexander-1.html
195,0.0,1.0,1.0,0.0,/players/kendall-gill-1.html
196,0.0,1.0,1.0,0.0,/players/armen-gilliam-1.html
197,0.0,1.0,0.0,0.0,/players/ryan-gomes-1.html
198,0.0,1.0,1.0,1.0,/players/drew-gooden-1.html
199,1.0,0.0,1.0,0.0,/players/ben-gordon-1.html
200,0.0,0.0,0.0,1.0,/players/eric-gordon-1.html
201,0.0,0.0,0.0,0.0,/players/danny-granger-1.html
202,0.0,0.0,0.0,0.0,/players/brian-grant-1.html
203,0.0,1.0,0.0,0.0,/players/horace-grant-1.html
204,0.0,0.0,0.0,0.0,/players/ac-green-1.html
205,1.0,0.0,1.0,1.0,/players/danny-green-1.html
206,0.0,1.0,2.0,1.0,/players/draymond-green-1.html
207,0.0,0.0,1.0,0.0,/players/jeff-green-1.html
208,0.0,1.0,1.0,1.0,/players/blake-griffin-1.html
209,0.0,0.0,0.0,1.0,/players/eddie-griffin-1.html
210,0.0,0.0,0.0,0.0,/players/tom-gugliotta-1.html
211,0.0,1.0,1.0,0.0,/players/rui-hachimura-1.html
212,0.0,0.0,0.0,0.0,/players/jack-haley-1.html
213,0.0,0.0,0.0,0.0,/players/tyrese-haliburton-1.html
214,0.0,0.0,0.0,0.0,/players/darvin-ham-1.html
215,1.0,2.0,2.0,1.0,/players/richard-hamilton-1.html
216,0.0,1.0,1.0,1.0,/players/anfernee-hardaway-1.html
217,0.0,0.0,0.0,0.0,/players/tim-hardaway-1.html
218,0.0,0.0,0.0,0.0,/players/tim-hardaway-jr-1.html
219,0.0,1.0,0.0,1.0,/players/james-harden-1.html
220,0.0,1.0,0.0,0.0,/players/ron-harper-1.html
221,0.0,0.0,0.0,0.0,/players/matt-harpring-1.html
222,1.0,0.0,1.0,0.0,/players/montrezl-harrell-1.html
223,0.0,1.0,0.0,0.0,/players/devin-harris-1.html
224,0.0,0.0,0.0,0.0,/players/terrel-harris-1.html
225,0.0,0.0,1.0,0.0,/players/udonis-haslem-1.html
226,0.0,1.0,0.0,0.0,/players/hersey-hawkins-1.html
227,0.0,0.0,0.0,0.0,/players/jarvis-hayes-1.html
228,0.0,0.0,1.0,0.0,/players/gordon-hayward-1.html
229,0.0,0.0,0.0,1.0,/players/brendan-haywood-1.html
230,0.0,1.0,1.0,0.0,/players/luther-head-1.html
231,0.0,0.0,1.0,1.0,/players/alan-henderson-1.html
232,0.0,0.0,0.0,1.0,/players/cedric-henderson-2.html
233,0.0,0.0,0.0,0.0,/players/carl-herrera-1.html
234,0.0,0.0,1.0,0.0,/players/tyler-herro-1.html
235,0.0,1.0,1.0,0.0,/players/roy-hibbert-1.html
236,0.0,1.0,1.0,0.0,/players/buddy-hield-1.html
237,2.0,2.0,1.0,1.0,/players/grant-hill-1.html
238,0.0,0.0,0.0,0.0,/players/tyrone-hill-1.html
239,0.0,0.0,1.0,0.0,/players/kirk-hinrich-1.html
240,0.0,0.0,0.0,1.0,/players/jrue-holiday-1.html
241,0.0,0.0,0.0,0.0,/players/justin-holiday-1.html
242,0.0,1.0,0.0,0.0,/players/dennis-hopson-1.html
243,2.0,0.0,1.0,0.0,/players/al-horford-1.html
244,0.0,0.0,0.0,0.0,/players/jeff-hornacek-1.html
