,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS
1179,1994-95,Michigan State,Big Ten,28.0,31.1,4.2,8.0,0.52,3.9,7.2,0.547,0.3,0.9,0.292,2.2,3.6,0.608,3.3,7.8,1.9,0.1,2.9,2.2,10.8,7.92,/players/eric-snow-1.html,28.0
1180,2006-07,Florida,SEC,33.0,33.3,1.7,2.6,0.671,1.7,2.6,0.671,0.0,0.0,0.0,0.6,0.9,0.667,2.6,0.1,0.2,0.5,3.2,2.3,4.1,7.34,/players/marreese-speights-1.html,0.0
1181,2007-08,Florida,SEC,36.0,36.4,6.0,9.6,0.624,6.0,9.6,0.624,0.0,0.0,0.0,2.5,3.6,0.692,8.1,0.9,0.4,1.4,4.6,2.0,14.5,4.98,/players/marreese-speights-1.html,36.0
1182,1987-88,Louisville,Metro,35.0,32.2,2.7,4.5,0.592,2.7,4.5,0.592,0.0,0.0,0.0,2.1,3.3,0.64,4.2,0.5,0.2,0.5,3.1,2.0,7.4,9.79,/players/felton-spencer-1.html,0.0
1183,1988-89,Louisville,Metro,33.0,33.0,2.6,4.2,0.607,2.6,4.2,0.607,0.0,0.0,0.0,3.0,4.1,0.733,5.1,0.6,0.4,0.9,3.6,2.5,8.2,9.28,/players/felton-spencer-1.html,4.0
1184,1989-90,Louisville,Metro,35.0,33.3,5.4,7.9,0.681,5.4,7.9,0.681,0.0,0.0,0.0,4.2,5.8,0.716,8.4,1.3,0.7,2.0,3.4,2.3,14.9,6.65,/players/felton-spencer-1.html,35.0
1185,1990-91,Alabama,SEC,33.0,17.4,3.5,6.9,0.511,3.4,6.5,0.516,0.2,0.4,0.417,1.8,2.5,0.69,5.0,1.9,0.4,1.9,1.2,2.0,8.9,8.7,/players/latrell-sprewell-1.html,17.0
1186,1991-92,Alabama,SEC,35.0,30.9,6.5,13.1,0.493,4.5,8.3,0.55,1.9,4.9,0.398,2.9,3.7,0.771,5.2,2.1,1.8,0.7,1.8,2.7,17.8,7.3,/players/latrell-sprewell-1.html,34.0
1187,1993-94,UNC,ACC,35.0,38.2,3.9,8.5,0.466,3.9,7.9,0.493,0.1,0.6,0.1,4.3,5.9,0.732,5.0,2.0,1.2,0.5,3.4,2.9,12.2,9.39,/players/jerry-stackhouse-1.html,1.0
1188,1994-95,UNC,ACC,34.0,33.8,6.3,12.2,0.517,5.2,9.6,0.546,1.1,2.6,0.411,5.4,7.6,0.712,8.2,2.7,1.5,1.7,3.2,3.1,19.2,13.14,/players/jerry-stackhouse-1.html,33.0
1189,1987-88,Oklahoma State,Big 8,30.0,22.0,5.1,10.3,0.497,3.8,6.7,0.559,1.4,3.6,0.38,3.8,4.5,0.838,4.7,4.6,2.2,0.3,1.2,2.5,15.4,7.83,/players/john-starks-1.html,28.0
1190,1988-89,Michigan State,Big Ten,33.0,29.0,3.5,6.2,0.558,3.5,6.2,0.558,0.0,0.0,0.0,1.7,2.3,0.74,4.5,1.4,0.9,0.4,1.6,3.0,8.7,11.04,/players/matt-steigenga-1.html,0.0
1191,1989-90,Michigan State,Big Ten,34.0,31.9,4.1,6.9,0.587,3.9,6.6,0.588,0.1,0.3,0.556,2.2,2.8,0.779,3.5,1.9,0.6,0.9,2.3,3.2,10.4,8.86,/players/matt-steigenga-1.html,33.0
1192,1990-91,Michigan State,Big Ten,30.0,29.6,4.9,9.4,0.525,4.5,8.5,0.527,0.4,0.9,0.5,2.3,3.3,0.7,4.9,2.1,0.4,1.1,2.2,3.2,12.6,9.33,/players/matt-steigenga-1.html,0.0
1193,1991-92,Michigan State,Big Ten,27.0,33.3,3.8,7.8,0.488,3.3,6.2,0.53,0.5,1.6,0.326,2.0,3.0,0.679,4.5,2.0,0.8,0.9,2.6,3.0,10.2,12.76,/players/matt-steigenga-1.html,27.0
1194,2019-20,Washington,Pac-12,32.0,26.8,6.0,10.5,0.57,5.8,9.9,0.59,0.2,0.6,0.25,4.8,6.2,0.774,8.8,0.8,0.5,2.1,2.1,3.3,17.0,8.25,/players/isaiah-stewart-2.html,32.0
1195,1988-89,Coppin State,MEAC,28.0,30.1,7.1,10.8,0.659,7.1,10.8,0.661,0.0,0.0,0.0,3.4,4.9,0.691,10.0,1.1,1.0,1.9,2.0,2.7,17.6,-11.08,/players/larry-stewart-1.html,0.0
1196,1989-90,Coppin State,MEAC,33.0,29.7,7.1,10.9,0.645,7.1,10.9,0.647,0.0,0.0,0.0,4.5,6.5,0.701,11.2,1.0,1.0,1.3,2.5,2.3,18.7,-10.11,/players/larry-stewart-1.html,33.0
1197,1990-91,Coppin State,MEAC,30.0,32.0,8.1,12.8,0.635,8.1,12.8,0.634,0.0,0.0,1.0,7.6,9.6,0.785,13.4,1.6,1.4,1.7,3.4,2.2,23.9,-8.25,/players/larry-stewart-1.html,30.0
1198,1991-92,Arizona,Pac-10,30.0,9.8,2.5,5.6,0.455,1.6,3.3,0.49,0.9,2.3,0.406,1.2,1.6,0.771,2.2,2.5,0.7,0.1,1.1,0.9,7.2,8.19,/players/damon-stoudamire-1.html,0.0
1199,1992-93,Arizona,Pac-10,28.0,30.5,3.5,8.1,0.438,2.1,4.4,0.484,1.4,3.6,0.382,2.6,3.3,0.791,4.1,5.7,1.6,0.2,2.1,1.9,11.0,8.28,/players/damon-stoudamire-1.html,27.0
1200,1993-94,Arizona,Pac-10,35.0,22.8,6.2,13.8,0.448,3.5,6.3,0.566,2.7,7.6,0.351,3.2,4.0,0.8,4.5,5.9,1.6,0.1,2.2,1.6,18.3,8.9,/players/damon-stoudamire-1.html,35.0
1201,1994-95,Arizona,Pac-10,30.0,38.2,7.4,15.5,0.476,3.7,7.5,0.489,3.7,8.0,0.465,4.3,5.2,0.826,4.3,7.3,1.7,0.0,4.1,1.4,22.8,10.35,/players/damon-stoudamire-1.html,30.0
1202,1987-88,DePaul,Ind,26.0,28.4,8.0,15.1,0.528,7.0,13.0,0.541,0.9,2.1,0.444,3.2,5.3,0.606,3.8,7.8,2.9,0.2,2.6,1.9,20.0,3.23,/players/rod-strickland-1.html,0.0
1203,2005-06,Eastern Washington,Big Sky,30.0,31.1,8.3,17.0,0.49,6.5,12.1,0.539,1.8,4.9,0.372,5.7,7.5,0.76,4.8,4.1,2.2,0.3,2.4,1.9,24.2,-0.02,/players/rodney-stuckey-1.html,30.0
1204,2006-07,Eastern Washington,Big Sky,29.0,31.9,7.8,17.3,0.453,6.3,11.7,0.541,1.5,5.6,0.267,7.4,8.8,0.846,4.7,5.5,2.4,0.3,3.0,2.1,24.6,-2.94,/players/rodney-stuckey-1.html,29.0
1205,1995-96,Miami (OH),MAC,22.0,31.4,3.0,5.8,0.52,2.0,3.6,0.55,1.0,2.1,0.468,1.0,1.3,0.786,3.3,1.0,0.3,0.5,2.8,2.8,8.0,0.82,/players/wally-szczerbiak-1.html,4.0
1206,1996-97,Miami (OH),MAC,30.0,25.9,5.0,10.5,0.475,3.1,6.5,0.482,1.9,4.0,0.463,0.9,1.3,0.718,5.4,2.1,0.7,0.4,1.8,2.6,12.8,0.63,/players/wally-szczerbiak-1.html,23.0
1207,1997-98,Miami (OH),MAC,21.0,33.1,8.8,16.7,0.529,5.8,10.6,0.55,3.0,6.1,0.492,3.8,4.7,0.806,7.6,2.5,0.9,1.1,2.1,2.0,24.4,1.94,/players/wally-szczerbiak-1.html,0.0
1208,1998-99,Miami (OH),MAC,32.0,35.4,8.4,16.2,0.522,6.5,10.6,0.609,2.0,5.5,0.356,5.4,6.5,0.831,8.5,2.9,1.2,1.0,3.4,2.4,24.2,4.41,/players/wally-szczerbiak-1.html,0.0
1209,2014-15,Ohio State,Big Ten,35.0,34.7,3.6,6.1,0.589,3.5,5.6,0.631,0.1,0.5,0.158,1.5,2.9,0.52,5.0,0.3,0.9,0.6,3.4,2.9,8.8,7.37,/players/jaesean-tate-1.html,16.0
1210,2015-16,Ohio State,Big Ten,28.0,30.7,4.8,9.3,0.521,4.3,7.8,0.553,0.5,1.4,0.35,1.6,3.0,0.518,6.4,1.5,1.3,0.3,1.8,2.8,11.7,7.08,/players/jaesean-tate-1.html,28.0
1211,2016-17,Ohio State,Big Ten,32.0,7.9,5.7,10.4,0.547,5.4,9.3,0.586,0.3,1.1,0.222,2.7,4.7,0.573,6.4,2.0,1.1,0.5,0.5,1.4,14.3,7.28,/players/jaesean-tate-1.html,32.0
1212,2017-18,Ohio State,Big Ten,34.0,18.0,5.0,9.0,0.557,4.7,8.0,0.588,0.3,1.0,0.314,1.9,3.2,0.591,6.2,2.9,1.1,0.6,1.4,2.4,12.3,9.02,/players/jaesean-tate-1.html,34.0
1213,2016-17,Duke,ACC,29.0,29.0,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.342,4.1,4.8,0.849,7.3,2.1,1.3,1.1,2.4,2.5,16.8,10.91,/players/jayson-tatum-1.html,27.0
