,TEAM_3_LETTERS,SEASON,LEAGUE,W,L,W/L%,FINISH,SRS,PACE,REL_PACE,ORtg,REL_ORTG,DRTG,REL_DRTG,PLAYOFFS
152,CHI,2012-13,NBA,45,37,0.549,2nd of 5,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7,Lost E. Conf. Semis
153,CHI,2011-12,NBA,50,16,0.758,1st of 5,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3,Lost E. Conf. 1st Rnd.
154,CHI,2010-11,NBA,62,20,0.756,1st of 5,6.53,90.4,-1.7,108.3,1.0,100.3,-7.0,Lost E. Conf. Finals
155,CHI,2009-10,NBA,41,41,0.5,3rd of 5,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,Lost E. Conf. 1st Rnd.
156,CHI,2008-09,NBA,41,41,0.5,2nd of 5,-0.16,93.1,1.4,108.4,0.1,108.7,0.4,Lost E. Conf. 1st Rnd.
157,CHI,2007-08,NBA,33,49,0.402,4th of 5,-3.19,93.0,0.6,103.9,-3.6,107.2,-0.3,not_play
158,CHI,2006-07,NBA,49,33,0.598,3rd of 5,4.52,93.6,1.7,104.9,-1.6,99.6,-6.9,Lost E. Conf. Semis
159,CHI,2005-06,NBA,41,41,0.5,4th of 5,0.51,92.9,2.4,104.0,-2.2,103.4,-2.8,Lost E. Conf. 1st Rnd.
160,CHI,2004-05,NBA,47,35,0.573,2nd of 5,0.65,92.4,1.5,101.4,-4.7,100.3,-5.8,Lost E. Conf. 1st Rnd.
161,CHI,2003-04,NBA,23,59,0.28,8th of 8,-6.69,92.2,2.1,96.6,-6.3,103.4,0.5,not_play
162,CHI,2002-03,NBA,30,52,0.366,6th of 8,-5.31,93.5,2.5,100.2,-3.4,105.6,2.0,not_play
163,CHI,2001-02,NBA,21,61,0.256,8th of 8,-8.52,90.5,-0.2,98.2,-6.3,107.6,3.1,not_play
164,CHI,2000-01,NBA,15,67,0.183,8th of 8,-9.09,89.3,-2.0,97.2,-5.8,107.3,4.3,not_play
165,CHI,1999-00,NBA,17,65,0.207,8th of 8,-9.23,89.4,-3.7,94.2,-9.9,104.6,0.5,not_play
166,CHI,1998-99,NBA,13,37,0.26,8th of 8,-8.58,88.1,-0.8,92.4,-9.8,103.0,0.8,not_play
167,CHI,1997-98,NBA,62,20,0.756,1st of 8,7.24,89.0,-1.3,107.7,2.7,99.8,-5.2,Won Finals
168,CHI,1996-97,NBA,69,13,0.841,1st of 8,10.7,90.0,-0.1,114.4,7.7,102.4,-4.3,Won Finals
169,CHI,1995-96,NBA,72,10,0.878,1st of 8,11.8,91.1,-0.7,115.2,7.6,101.8,-5.8,Won Finals
170,CHI,1994-95,NBA,47,35,0.573,3rd of 7,4.32,92.0,-0.9,109.5,1.2,104.3,-4.0,Lost E. Conf. Semis
171,CHI,1993-94,NBA,55,27,0.671,2nd of 7,2.87,91.9,-3.2,106.1,-0.2,102.7,-3.6,Lost E. Conf. Semis
172,CHI,1992-93,NBA,57,25,0.695,1st of 7,6.19,92.5,-4.3,112.9,4.9,106.1,-1.9,Won Finals
173,CHI,1991-92,NBA,67,15,0.817,1st of 7,10.07,94.4,-2.2,115.5,7.3,104.5,-3.7,Won Finals
174,CHI,1990-91,NBA,61,21,0.744,1st of 7,8.57,95.6,-2.2,114.6,6.7,105.2,-2.7,Won Finals
175,CHI,1989-90,NBA,55,27,0.671,2nd of 7,2.74,96.7,-1.6,112.3,4.2,109.0,0.9,Lost E. Conf. Finals
