,URL,NAME,ACTIVE_FROM,ACTIVE_TO,POSITION,COLLEGE,DRAFT_YEAR,DRAFT_PICK,DRAFT_TEAM,BIRTH_DATE(year),HEIGHT(cm),WEIGHT(kg)
21,/players/a/ajincal01.html,Alexis Ajinça,2009,2017,C-F,No College,Undrafted,Undrafted,Undrafted,1988,218.44000000000003,112.49
22,/players/a/akognjo01.html,Josh Akognon,2013,2013,G,"Washington State, Cal State Fullerton",Undrafted,Undrafted,Undrafted,1986,180.34,83.91
23,/players/a/akoonde01.html,DeVaughn Akoon-Purcell,2019,2019,G,Illinois State,Undrafted,Undrafted,Undrafted,1993,198.12,90.72
24,/players/a/alabiso01.html,Solomon Alabi,2011,2012,C,Florida State,2010.0,50.0,DAL,1988,215.9,113.85
25,/players/a/alarima01.html,Mark Alarie,1987,1991,F,Duke,1986.0,18.0,DEN,1963,203.2,98.43
26,/players/a/aldamsa01.html,Santi Aldama,2022,2022,F,Loyola (MD),2021.0,30.0,UTA,2001,210.82,101.6
27,/players/a/aldemfu01.html,Furkan Aldemir,2015,2015,F-C,No College,2012.0,53.0,LAC,1991,208.28,108.86
28,/players/a/aldrico01.html,Cole Aldrich,2011,2018,C,Kansas,2010.0,11.0,NOH,1988,210.82,113.4
29,/players/a/aldrila01.html,LaMarcus Aldridge,2007,2022,F-C,Texas,2006.0,2.0,CHI,1985,210.82,113.4
30,/players/a/alexacl01.html,Cliff Alexander,2016,2016,F,Kansas,Undrafted,Undrafted,Undrafted,1995,203.2,111.13
31,/players/a/alexaco01.html,Cory Alexander,1996,2005,G,Virginia,1995.0,29.0,SAS,1973,185.42,83.91
32,/players/a/alexaco02.html,Courtney Alexander,2001,2003,G,"Virginia, Fresno State",2000.0,13.0,ORL,1977,195.57999999999998,92.99
33,/players/a/alexaga01.html,Gary Alexander,1994,1994,F,South Florida,Undrafted,Undrafted,Undrafted,1969,200.66,108.86
34,/players/a/alexajo01.html,Joe Alexander,2009,2010,F,West Virginia,2008.0,8.0,MIL,1986,203.2,104.33
35,/players/a/alexaky01.html,Kyle Alexander,2020,2020,F,Tennessee,Undrafted,Undrafted,Undrafted,1996,210.82,99.79
36,/players/a/alexaty01.html,Ty-Shon Alexander,2021,2021,G,Creighton,Undrafted,Undrafted,Undrafted,1998,190.5,88.45
37,/players/a/alexavi01.html,Victor Alexander,1992,2002,C-F,Iowa State,1991.0,17.0,GSW,1969,205.74,120.2
38,/players/a/alexani01.html,Nickeil Alexander-Walker,2020,2022,G,Virginia Tech,2019.0,17.0,BRK,1998,198.12,92.99
39,/players/a/alforst01.html,Steve Alford,1988,1991,G,Indiana,1987.0,26.0,DAL,1964,187.96,83.01
40,/players/a/alkinra01.html,Rawle Alkins,2019,2019,G,Arizona,Undrafted,Undrafted,Undrafted,1997,195.57999999999998,102.06
41,/players/a/allengr01.html,Grayson Allen,2019,2022,G,Duke,2018.0,21.0,UTA,1995,193.04,89.81
42,/players/a/allenja01.html,Jarrett Allen,2018,2022,C-F,Texas,2017.0,22.0,BRK,1998,210.82,110.22
43,/players/a/allenje01.html,Jerome Allen,1996,1997,G,Penn,1995.0,49.0,MIN,1973,193.04,83.46
44,/players/a/allenka01.html,Kadeem Allen,2018,2020,G,Arizona,2017.0,53.0,BOS,1993,185.42,90.72
45,/players/a/allenla01.html,Lavoy Allen,2012,2017,F-C,Temple,2011.0,50.0,PHI,1989,205.74,117.93
46,/players/a/allenma01.html,Malik Allen,2002,2011,F-C,Villanova,Undrafted,Undrafted,Undrafted,1978,208.28,115.67
47,/players/a/allenra01.html,Randy Allen,1989,1990,F,Florida State,1974.0,58.0,PHO,1965,203.2,99.79
48,/players/a/allenra02.html,Ray Allen,1997,2014,G,UConn,1996.0,5.0,MIN,1975,195.57999999999998,92.99
