,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS
367,2019-20,Illinois,Big Ten,30.0,1006.0,0.549,0.52,0.242,0.252,15.2,/players/ayo-dosunmu-1.html,30.0
368,2020-21,Illinois,Big Ten,28.0,984.0,0.566,0.526,0.191,0.333,15.7,/players/ayo-dosunmu-1.html,28.0
369,1987-88,Syracuse,Big East,35.0,1195.0,0.563,0.535,0.124,0.35,19.0,/players/sherman-douglas-1.html,34.0
370,1988-89,Syracuse,Big East,38.0,1348.0,0.597,0.585,0.213,0.349,19.3,/players/sherman-douglas-1.html,38.0
371,2011-12,UConn,Big East,34.0,967.0,0.509,0.538,0.007,0.301,13.5,/players/andre-drummond-1.html,30.0
372,2019-20,Oregon,Pac-12,28.0,844.0,0.529,0.492,0.461,0.257,11.2,/players/chris-duarte-1.html,28.0
373,2020-21,Oregon,Pac-12,26.0,886.0,0.657,0.633,0.478,0.262,14.8,/players/chris-duarte-1.html,26.0
374,2003-04,Boston College,Big East,34.0,1156.0,0.556,0.496,0.202,0.613,16.3,/players/jared-dudley-1.html,34.0
375,2004-05,Boston College,Big East,30.0,1079.0,0.585,0.533,0.266,0.53,10.4,/players/jared-dudley-1.html,30.0
376,2005-06,Boston College,ACC,36.0,1340.0,0.582,0.535,0.234,0.601,12.0,/players/jared-dudley-1.html,36.0
377,2006-07,Boston College,ACC,30.0,1152.0,0.652,0.618,0.254,0.55,15.1,/players/jared-dudley-1.html,30.0
378,1987-88,Oklahoma State,Big 8,30.0,937.0,0.585,0.546,0.005,0.414,20.1,/players/richard-dumas-1.html,26.0
379,1988-89,Oklahoma State,Big 8,28.0,850.0,0.475,0.454,0.051,0.26,14.9,/players/richard-dumas-1.html,28.0
380,1989-90,Oklahoma State,Big 8,12.0,276.0,0.568,0.549,0.027,0.389,20.3,/players/richard-dumas-1.html,7.0
381,1993-94,Wake Forest,ACC,33.0,997.0,0.593,0.548,0.005,0.5,12.8,/players/tim-duncan-1.html,32.0
382,1994-95,Wake Forest,ACC,32.0,1168.0,0.628,0.595,0.02,0.452,17.5,/players/tim-duncan-1.html,32.0
