,2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,URL,eFG%
2987,0.6,0.348,1.7,0.2,0.222,0.7,,0.5,0.3,0.5,0.7,0.312,2.3,0.3,0.444,0.7,40,0,NBA,7.3,0.4,0.9,,1.9,Career,0.4,,0.5,0.9,/players/m/meeda01.html,0.344
2988,1.7,0.471,3.5,1.4,0.373,3.9,,1.1,0.1,1.8,3.1,0.42,7.4,1.6,0.879,1.9,539.0,204.0,NBA,22.5,0.3,1.2,,9.3,Career,0.8,,0.8,2.1,/players/m/meeksjo01.html,0.517
2989,,,,,,,,1.3,0.7,3.3,3.5,0.417,8.4,1.3,0.675,1.9,318.0,,NBA,19.9,1.1,2.9,,8.4,Career,0.6,,,5.4,/players/m/meelycl01.html,
2990,0.6,0.352,1.8,0.0,1.0,0.0,,0.4,0.2,0.8,0.7,0.361,1.8,0.5,0.704,0.7,39,0,NBA,5.2,0.3,0.4,,1.8,Career,0.3,,0.4,1.0,/players/m/meentsc01.html,0.368
2991,,,,,,,,2.5,,,4.3,0.381,11.3,2.1,0.709,3.0,193.0,,NBA,35.3,,2.9,,10.7,Career,,,,3.9,/players/m/mehendi01.html,
2992,,,,,,,,1.3,,,2.3,.367,6.3,2.2,.756,2.9,343,,NBA,19.8,,3.1,,6.8,Career,,,,4.7,/players/m/meinemo01.html,
2993,,,,,,,,0.6,,,2.1,0.316,6.8,1.0,0.628,1.6,98.0,,BAA,,,1.3,,5.3,Career,,,,,/players/m/meinhca01.html,
2994,1.3,0.634,2.1,0.1,0.293,0.2,,0.5,0.9,2.7,1.4,0.603,2.3,0.6,0.59,1.0,204,22,NBA,11.9,1.3,1.9,,3.4,Career,0.4,,0.6,4.0,/players/m/mejrisa01.html,0.616
2995,0.8,0.337,2.4,0.1,0.217,0.7,,2.2,0.0,0.7,0.9,0.311,3.0,0.2,0.667,0.3,35.0,1.0,NBA,9.6,0.1,0.9,,2.3,Career,0.2,,0.9,0.8,/players/m/mekelga01.html,0.335
2996,4.2,.465,9.0,0.1,.236,0.3,,5.0,0.1,1.7,4.3,.459,9.3,2.1,.809,2.5,646,,TOT,26.0,0.4,2.2,,10.6,Career,0.9,,2.5,2.0,/players/m/melchbi01.html,.462
2997,,,,,,,,2.2,0.2,1.7,3.2,0.444,7.1,1.5,0.831,1.8,137,,NBA,20.3,0.7,1.5,,7.8,Career,0.6,,,2.4,/players/m/melchga01.html,
2998,0.9,0.52,1.6,0.9,0.316,2.8,,1.2,0.2,2.2,1.7,0.392,4.4,0.7,0.745,0.9,105.0,12.0,NBA,15.3,0.6,1.7,,5.0,Career,0.5,,0.6,2.9,/players/m/mellini01.html,0.491
2999,0.5,0.5,1.0,0.0,,0.0,,0.0,0.3,0.5,0.5,0.5,1.0,0.2,0.25,0.7,6,0,NBA,6.0,0.0,1.2,,1.2,Career,0.3,,0.2,0.5,/players/m/melofa01.html,0.5
3000,1.8,0.452,3.9,1.3,0.361,3.5,,2.8,0.5,2.9,3.0,0.409,7.4,1.0,0.766,1.4,235.0,55.0,NBA,20.7,0.7,1.9,,8.4,Career,1.3,,1.4,3.6,/players/m/meltode01.html,0.494
3001,,,,,,,,0.6,,,1.7,0.263,6.6,1.5,0.654,2.2,57,,BAA,,,2.6,,4.9,Career,,,,,/players/m/melvied01.html,
3002,,,,,,,,2.5,0.1,1.5,2.4,0.475,5.1,1.3,0.627,2.1,416.0,,NBA,20.6,1.1,1.7,,6.1,Career,0.9,,,2.6,/players/m/meminde01.html,
3003,,,,,,,,2.4,,,2.6,0.341,7.5,1.8,0.765,2.4,141,,NBA,20.0,,1.2,,7.0,Career,,,,2.5,/players/m/mencech01.html,
3004,3.8,0.48,7.9,0.0,0.0,0.2,,2.1,0.1,1.4,3.8,0.479,7.9,2.2,0.809,2.7,636.0,,NBA,20.1,0.4,2.0,,9.8,Career,0.7,,1.4,1.9,/players/m/mengejo01.html,0.479
3005,,,,,,,,1.2,,,1.0,0.353,2.8,0.5,0.375,1.3,6,,NBA,,,1.2,,2.5,Career,,,,,/players/m/menkeke01.html,
3006,1.0,.416,2.5,0.0,.000,0.0,,0.2,0.2,1.6,1.0,.410,2.6,0.9,.589,1.5,61,0,NBA,8.3,1.4,1.3,,3.0,Career,0.2,,0.7,3.0,/players/m/mensapo01.html,.410
3007,3.6,0.37,9.7,0.0,,0.0,,1.2,,,3.6,0.37,9.7,1.8,0.665,2.8,71,,ABA,24.7,,3.1,,9.1,Career,,,1.4,7.8,/players/m/menyade01.html,0.37
3008,5.6,0.437,12.9,0.1,0.25,0.6,,2.1,0.3,2.2,5.8,0.429,13.4,2.0,0.808,2.4,432.0,278.0,NBA,31.1,0.9,2.0,,13.6,Career,1.1,,1.6,3.1,/players/m/mercero01.html,0.434
3009,3.2,.511,6.3,0.0,.333,0.0,,0.9,1.2,3.7,3.2,.511,6.3,1.6,.687,2.4,670,119,NBA,22.1,1.9,3.4,,8.1,Career,0.5,,1.4,5.6,/players/m/meriwjo01.html,.511
3010,,,,,,,,1.4,,,1.5,0.393,3.9,0.7,0.697,1.1,31,,NBA,8.6,,0.6,,3.8,Career,,,,0.9,/players/m/meriwpo01.html,
3011,0.3,0.462,0.7,0.8,0.4,1.9,,0.7,0.0,0.8,1.1,0.417,2.7,0.2,0.75,0.2,36.0,2.0,NBA,8.1,0.2,0.6,,3.2,Career,0.2,,0.3,1.0,/players/m/merrisa01.html,0.563
3012,,,,,,,,1.7,,,5.0,0.441,11.3,2.8,0.745,3.7,778.0,,NBA,30.2,,3.7,,12.7,Career,,,,8.6,/players/m/meschto01.html,
3013,1.9,0.533,3.5,0.5,0.308,1.6,,0.8,0.4,3.0,2.4,0.463,5.1,0.9,0.762,1.1,143.0,26.0,NBA,14.1,0.6,1.2,,6.1,Career,0.5,,0.8,3.6,/players/m/metuch01.html,0.511
3014,1.4,0.455,3.1,0.0,,0.0,,0.1,,,1.4,0.455,3.1,0.3,1.0,0.3,7,,ABA,6.4,,1.0,,3.1,Career,,,0.3,0.7,/players/m/meyerbi01.html,0.455
3015,1.8,.435,4.1,0.1,.348,0.2,,0.6,0.4,2.2,1.9,.432,4.3,0.8,.696,1.2,140,54,NBA,14.6,1.2,2.7,,4.6,Career,0.2,,1.0,3.4,/players/m/meyerlo01.html,.439
3016,4.3,.461,9.3,0.0,.200,0.1,,2.3,0.5,4.4,4.3,.461,9.3,2.6,.676,3.9,281,,NBA,26.6,1.9,2.7,,11.2,Career,1.0,,2.5,6.3,/players/m/meyerda01.html,.461
3017,,,,,,,,1.4,,,3.8,.330,11.4,3.0,.628,4.8,365,,TOT,28.7,,3.7,,10.6,Career,,,,7.6,/players/m/miasest01.html,
3018,1.5,0.574,2.5,0.0,0.0,0.0,,0.5,0.3,1.6,1.5,0.567,2.6,0.5,0.61,0.9,96.0,0.0,NBA,9.3,1.1,1.3,,3.4,Career,0.4,,0.6,2.7,/players/m/michela01.html,0.567
3019,0.9,0.496,1.9,0.0,0.118,0.3,,0.3,0.4,1.4,1.0,0.449,2.2,0.4,0.605,0.7,64.0,4.0,NBA,7.5,0.6,0.8,,2.4,Career,0.1,,0.4,2.0,/players/m/mickejo01.html,0.457
3020,4.3,0.494,8.8,1.9,0.392,4.8,,3.8,0.2,4.2,6.2,0.458,13.5,2.8,0.881,3.2,651.0,576.0,NBA,31.8,0.6,2.6,,17.1,Career,1.2,,2.1,4.9,/players/m/middlkh01.html,0.527
3021,,,,,,,,0.0,,,0.4,0.333,1.3,0.0,,0.0,7,,BAA,,,1.4,,0.9,Career,,,,,/players/m/mihalre01.html,
3022,2.9,.460,6.2,0.0,.231,0.0,,0.5,1.0,3.3,2.9,.459,6.3,1.7,.704,2.5,436,256,NBA,20.1,2.0,2.9,,7.5,Career,0.3,,1.2,5.3,/players/m/mihmch01.html,.459
3023,2.0,0.667,3.0,0.0,,0.0,,0.0,0.0,5.0,2.0,0.667,3.0,2.0,1.0,2.0,1,0,NBA,19.0,2.0,5.0,,6.0,Career,0.0,,0.0,7.0,/players/m/mikaer01.html,0.667
3024,,,,,,,,0.9,,,2.5,0.32,7.7,1.7,0.756,2.3,323.0,,TOT,20.3,,2.8,,6.7,Career,,,,5.5,/players/m/mikaned01.html,
3025,,,,,,,,2.8,,,8.1,.404,20.0,7.0,.782,8.9,439,,TOT,34.4,,4.2,,23.1,Career,,,,13.4,/players/m/mikange01.html,
3026,,,,,,,,0.8,,,1.2,0.333,3.5,0.6,0.618,1.0,53,,NBA,10.1,,1.1,,3.0,Career,,,,2.6,/players/m/mikanla01.html,
3027,,,,,,,,2.2,,,5.1,0.403,12.6,4.2,0.766,5.5,699,,NBA,32.5,,4.0,,14.4,Career,,,,9.4,/players/m/mikkeve01.html,
3028,,,,,,,,0.5,,,0.6,0.238,2.6,2.1,0.81,2.6,8,,NBA,,,2.8,,3.4,Career,,,,,/players/m/miksial01.html,
3029,0.3,0.333,0.9,0.0,,0.0,,1.3,0.1,0.7,0.3,0.333,0.9,0.2,1.0,0.2,19,0,NBA,6.2,0.0,0.7,,0.8,Career,0.2,,0.6,0.7,/players/m/milesaa01.html,0.333
3030,1.9,0.463,4.2,1.5,0.358,4.1,,1.1,0.3,1.9,3.4,0.411,8.3,1.3,0.809,1.6,849.0,303.0,NBA,20.4,0.4,2.1,,9.6,Career,0.7,,0.9,2.4,/players/m/milescj01.html,0.5
3031,4.2,.482,8.6,0.0,.168,0.3,,1.9,1.1,3.6,4.2,.472,8.9,1.7,.590,2.8,446,190,NBA,26.3,1.3,2.3,,10.1,Career,0.9,,2.0,4.9,/players/m/milesda01.html,.474
3032,,,,,,,,2.0,,,5.5,0.44,12.4,2.5,0.747,3.4,605.0,,NBA,25.9,,2.3,,13.4,Career,,,,3.1,/players/m/milesed01.html,
3033,1.0,0.571,1.8,0.1,0.429,0.2,,0.3,0.0,0.4,1.1,0.56,1.9,0.3,0.647,0.4,44,0,NBA,4.9,0.3,0.5,,2.5,Career,0.3,,0.6,0.7,/players/m/milicma01.html,0.577
3034,2.6,0.461,5.5,0.0,0.0,0.0,,0.9,1.3,2.9,2.6,0.46,5.6,0.9,0.574,1.6,468.0,208.0,NBA,18.5,1.3,2.3,,6.0,Career,0.4,,1.2,4.2,/players/m/milicda01.html,0.46
3035,,,,,,,,0.7,,,1.6,0.262,6.0,1.1,0.571,2.0,57.0,,BAA,,,2.1,,4.3,Career,,,,,/players/m/militna01.html,
3036,4.5,0.478,9.4,0.1,0.217,0.7,,6.5,0.2,2.6,4.6,0.461,10.0,3.1,0.807,3.8,1304.0,939.0,NBA,30.9,1.1,2.2,,12.5,Career,1.2,,2.4,3.7,/players/m/millean02.html,0.468
3037,1.1,.516,2.1,0.0,.250,0.0,,0.4,0.1,1.7,1.1,.510,2.1,0.6,.576,1.1,181,15,NBA,9.0,1.0,1.3,,2.8,Career,0.3,,0.5,2.7,/players/m/millean01.html,.513
3038,,,,,,,,0.7,,,0.8,0.292,2.6,0.4,0.55,0.7,28.0,,BAA,,,1.1,,1.9,Career,,,,,/players/m/millebi01.html,
3039,1.0,0.667,1.5,0.0,,0.0,,0.5,0.5,1.5,1.0,0.667,1.5,0.0,,0.0,2,0,NBA,4.0,1.0,2.5,,2.0,Career,0.0,,0.0,2.5,/players/m/millebo01.html,0.667
3040,3.7,0.494,7.6,0.2,0.33,0.7,,2.8,0.7,5.2,4.0,0.48,8.3,3.0,0.804,3.8,868.0,598.0,NBA,28.3,2.0,2.7,,11.2,Career,0.7,,1.6,7.1,/players/m/millebr01.html,0.494
3041,0.7,0.5,1.5,1.3,0.383,3.3,,1.4,0.2,1.5,2.0,0.419,4.8,0.6,0.84,0.7,271.0,28.0,NBA,19.8,0.2,1.9,,5.9,Career,0.5,,0.6,1.6,/players/m/milleda01.html,0.552
3042,0.5,0.5,1.0,0.0,0.0,0.1,,0.6,0.0,0.6,0.5,0.444,1.1,0.0,,0.0,8.0,,NBA,6.6,0.3,0.6,,1.0,Career,0.5,,1.0,0.9,/players/m/milledi01.html,0.444
3043,,,,,,,,1.5,,,3.6,0.374,9.7,2.9,0.692,4.3,142.0,,NBA,25.9,,3.1,,10.2,Career,,,,8.5,/players/m/milleed01.html,
3044,,,,,,,,0.8,,,1.1,0.223,4.9,0.7,0.439,1.5,53,,BAA,,,2.2,,2.9,Career,,,,,/players/m/milleha01.html,
3045,2.0,0.415,4.9,0.0,0.0,0.0,,0.4,,0.8,2.0,0.415,4.9,1.5,0.717,2.1,117.0,,TOT,10.6,1.0,1.6,,5.5,Career,,,0.9,1.8,/players/m/milleja01.html,0.415
3046,4.9,0.444,11.0,0.2,0.248,0.7,,2.4,0.1,3.1,5.0,0.432,11.7,3.3,0.724,4.6,486.0,,ABA,30.7,1.9,2.2,,13.6,Career,0.7,,1.9,5.0,/players/m/millela01.html,0.439
3047,0.2,0.526,0.4,0.5,0.406,1.2,,0.3,0.1,0.5,0.7,0.434,1.6,0.2,0.625,0.3,53,5,NBA,6.7,0.1,0.6,,2.0,Career,0.1,,0.2,0.7,/players/m/millema01.html,0.59
3048,2.4,0.502,4.7,1.5,0.407,3.8,,2.6,0.2,3.6,3.9,0.459,8.5,1.3,0.769,1.7,1032.0,570.0,NBA,26.9,0.6,2.0,,10.6,Career,0.6,,1.5,4.2,/players/m/millemi01.html,0.55
3049,3.1,.541,5.7,0.0,.116,0.1,,2.2,1.5,4.0,3.1,.534,5.8,1.1,.639,1.7,493,196,NBA,23.0,1.9,3.0,,7.4,Career,0.9,,1.9,5.9,/players/m/milleol01.html,.535
3050,1.1,0.383,2.8,0.5,0.292,1.6,,0.5,0.5,1.9,1.6,0.35,4.4,0.7,0.706,1.0,69.0,16.0,NBA,13.5,0.6,1.2,,4.3,Career,0.4,,0.8,2.4,/players/m/millequ01.html,0.404
3051,4.1,0.516,7.9,1.8,0.395,4.7,,3.0,0.2,2.4,5.9,0.471,12.6,4.5,0.888,5.1,1389,1304,NBA,34.3,0.6,2.0,,18.2,Career,1.1,,1.7,3.0,/players/m/millere01.html,0.544
3052,,,,,,,,0.5,,,0.6,0.333,1.8,0.8,0.5,1.5,12,,BAA,,,1.3,,1.9,Career,,,,,/players/m/millewa01.html,
3053,3.4,.455,7.6,0.8,.351,2.2,,1.9,0.4,3.6,4.2,.432,9.8,2.0,.817,2.4,568,328,NBA,30.4,1.4,2.7,,11.2,Career,0.7,,1.3,4.9,/players/m/millsch01.html,.471
3054,,,,,,,,0.2,,,1.2,0.294,4.0,1.5,0.55,2.7,47,,BAA,,,2.0,,3.9,Career,,,,,/players/m/millsjo01.html,
3055,1.5,0.479,3.2,1.8,0.389,4.5,,2.3,0.1,1.4,3.3,0.426,7.7,0.9,0.855,1.0,820.0,105.0,NBA,20.7,0.3,1.3,,9.2,Career,0.7,,1.0,1.7,/players/m/millspa02.html,0.541
3056,3.4,0.478,7.1,0.8,0.384,2.0,,1.3,0.4,3.9,4.2,0.457,9.2,1.4,0.781,1.8,678.0,303.0,NBA,24.2,1.5,2.8,,10.6,Career,0.6,,1.3,5.4,/players/m/millste01.html,0.5
3057,0.9,0.356,2.6,0.4,0.279,1.5,,1.1,0.3,2.2,1.3,0.327,4.1,1.0,0.679,1.5,69.0,5.0,NBA,16.2,0.5,2.3,,4.2,Career,0.9,,1.1,2.8,/players/m/millsel01.html,0.379
3058,4.5,0.513,8.8,0.5,0.341,1.5,,2.2,1.0,4.9,5.0,0.489,10.3,2.8,0.736,3.9,1085.0,746.0,NBA,28.1,2.2,3.0,,13.4,Career,1.2,,1.7,7.1,/players/m/millspa01.html,0.513
3059,2.6,0.495,5.2,1.0,0.361,2.9,,2.6,0.3,1.8,3.6,0.447,8.1,1.5,0.819,1.8,178,34,NBA,20.9,0.5,2.0,,9.7,Career,0.5,,1.1,2.3,/players/m/miltosh01.html,0.512
3060,3.3,0.468,7.2,0.1,0.311,0.4,,1.2,0.1,1.2,3.5,0.46,7.5,2.0,0.785,2.5,200.0,47.0,NBA,18.7,1.0,1.9,,9.0,Career,0.4,,1.4,2.2,/players/m/minerha01.html,0.468
3061,7.0,.525,13.2,0.0,.200,0.0,,1.6,1.9,6.7,7.0,.524,13.3,5.1,.833,6.1,486,476,NBA,32.5,2.5,3.3,,19.0,Career,0.4,,2.7,9.2,/players/m/mingya01.html,.525
3062,2.1,0.489,4.3,0.1,0.272,0.4,,3.8,0.0,1.2,2.2,0.47,4.7,0.8,0.739,1.1,222.0,60.0,NBA,17.1,0.5,2.1,,5.3,Career,0.9,,1.6,1.7,/players/m/minnidi01.html,0.481
3063,,,,,,,,2.5,,,2.9,0.36,8.1,1.7,0.754,2.3,116.0,,NBA,27.3,,3.2,,7.6,Career,,,,4.5,/players/m/minorda01.html,
3064,2.8,0.495,5.6,0.1,0.226,0.4,,1.4,0.2,1.7,2.9,0.478,6.0,1.0,0.767,1.4,277,93,NBA,18.6,0.9,1.7,,6.9,Career,0.6,,0.8,2.7,/players/m/minorgr01.html,0.485
3065,,,,,,,,0.5,,,0.3,0.25,1.0,0.8,0.75,1.0,4,,NBA,5.0,,1.3,,1.3,Career,,,,1.0,/players/m/minorma01.html,
3066,2.2,0.502,4.3,1.9,0.359,5.4,,1.3,0.7,5.0,4.1,0.423,9.7,2.2,0.808,2.7,319.0,95.0,NBA,24.2,0.9,2.1,,12.3,Career,0.8,,1.2,5.9,/players/m/mirotni01.html,0.522
3067,,,,,,,,0.0,,,1.0,0.231,4.3,0.3,0.333,1.0,3,,BAA,,,2.3,,2.3,Career,,,,,/players/m/misakwa01.html,
3068,0.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1,0,NBA,3.0,0.0,2.0,,0.0,Career,0.0,,0.0,0.0,/players/m/miskija01.html,0.0
3069,3.3,0.48,7.0,1.3,0.316,4.3,,4.2,0.3,1.8,4.7,0.418,11.2,0.7,0.659,1.1,75,19,NBA,27.7,0.4,1.9,,11.5,Career,0.7,,1.5,2.2,/players/m/mitchda01.html,0.477
3070,5.8,0.493,11.7,2.8,0.361,7.7,,4.5,0.3,3.4,8.6,0.441,19.4,4.0,0.833,4.8,345,337,NBA,33.7,0.8,2.5,,23.9,Career,1.3,,2.8,4.2,/players/m/mitchdo01.html,0.512
3071,1.3,0.369,3.5,0.3,0.276,1.0,,0.9,,,1.6,0.349,4.5,0.7,0.659,1.1,78,,ABA,14.0,,2.0,,4.1,Career,,,1.4,2.3,/players/m/mitchle01.html,0.379
3072,8.4,.495,16.9,0.0,.216,0.1,,1.3,0.5,3.6,8.4,.493,17.0,3.0,.779,3.8,759,443,NBA,32.3,2.0,2.7,,19.8,Career,0.7,,1.7,5.6,/players/m/mitchmi01.html,.494
3073,,,,,,,,1.0,,,0.5,0.333,1.5,0.0,,0.0,2,,NBA,,,0.5,,1.0,Career,,,,,/players/m/mitchmu01.html,
3074,3.2,.456,7.0,0.1,.223,0.3,,1.1,0.3,2.5,3.2,.447,7.2,2.1,.784,2.7,994,322,NBA,22.4,1.3,2.5,,8.7,Career,0.6,,0.8,3.7,/players/m/mitchsa01.html,.451
3075,1.8,0.443,4.0,0.0,,0.0,,0.9,0.1,1.3,1.8,0.443,4.0,1.5,0.578,2.7,24.0,0.0,NBA,14.7,0.8,2.1,,5.1,Career,0.7,,1.4,2.1,/players/m/mitchto01.html,0.443
3076,1.0,0.75,1.3,0.0,0.0,0.3,,0.3,0.0,0.0,1.0,0.6,1.7,0.0,,0.0,3,0,NBA,3.3,0.3,0.0,,2.0,Career,0.3,,0.0,0.3,/players/m/mitchto03.html,0.6
3077,0.2,0.364,0.5,0.0,1.0,0.0,,0.1,0.1,0.5,0.2,0.417,0.6,0.5,0.579,0.9,21,0,NBA,3.8,0.7,0.4,,1.0,Career,0.3,,0.2,1.2,/players/m/mitchto02.html,0.458
3078,0.4,0.571,0.7,0.3,0.208,1.2,,1.2,0.1,0.6,0.7,0.342,1.9,0.1,1.0,0.1,20.0,0.0,NBA,6.6,0.1,0.6,,1.7,Career,0.1,,0.6,0.7,/players/m/mitrona01.html,0.408
3079,4.1,.499,8.1,0.0,.286,0.1,,1.8,0.2,3.5,4.1,.499,8.2,2.5,.803,3.1,788,56,TOT,23.9,1.9,2.1,,10.6,Career,1.2,,1.3,5.3,/players/m/mixst01.html,.499
3080,,,,,,,,2.0,,,2.4,0.305,7.9,1.0,0.646,1.5,31,,NBA,19.6,,1.7,,5.8,Career,,,,3.3,/players/m/mlkvybi01.html,
3081,4.3,.455,9.5,1.5,.378,3.8,,2.7,0.4,3.2,5.8,.433,13.4,3.0,.835,3.6,747,581,NBA,37.0,0.7,2.3,,16.0,Career,1.2,,2.0,3.9,/players/m/moblecu01.html,.487
3082,1.6,0.538,2.9,0.0,0.75,0.0,,0.5,0.5,1.9,1.6,0.541,2.9,0.7,0.475,1.4,113.0,38.0,NBA,13.9,1.2,1.7,,3.9,Career,0.2,,0.9,3.1,/players/m/mobleer01.html,0.545
3083,5.8,0.541,10.7,0.3,0.25,1.3,,2.5,1.7,6.2,6.1,0.508,12.0,2.4,0.663,3.7,69,69,NBA,33.8,2.1,2.1,,15.0,Career,0.8,,1.9,8.3,/players/m/mobleev01.html,0.522
3084,6.0,.432,14.0,0.1,.213,0.2,,3.2,,4.4,6.1,.428,14.2,4.1,.800,5.1,378,,ABA,32.0,2.4,3.4,,16.3,Career,,,2.5,6.8,/players/m/moedo01.html,.430
3085,,,,,,,,0.4,0.1,0.6,0.3,0.294,0.9,0.3,0.6,0.5,20,,NBA,5.5,0.5,0.8,,0.8,Career,0.1,,0.4,1.1,/players/m/moffela01.html,
3086,,,,,,,,1.4,,,2.8,.332,8.4,3.0,.716,4.1,231,,TOT,,,2.5,,8.5,Career,,,,1.8,/players/m/mogusle01.html,
3087,2.4,0.487,4.9,0.0,0.0,0.0,,0.4,0.6,2.9,2.4,0.486,4.9,1.0,0.64,1.6,1005.0,354.0,NBA,15.8,1.8,2.1,,5.8,Career,0.4,,0.9,4.7,/players/m/mohamna01.html,0.486
3088,1.1,0.494,2.2,0.0,0.0,0.0,,0.3,0.5,1.9,1.1,0.489,2.2,0.5,0.593,0.8,145.0,3.0,NBA,9.6,0.9,1.3,,2.7,Career,0.3,,0.7,2.7,/players/m/moisoje01.html,0.489
3089,1.6,0.456,3.4,0.0,0.216,0.1,,0.7,0.4,2.4,1.6,0.451,3.5,0.8,0.694,1.2,694.0,38.0,NBA,14.0,1.0,2.6,,4.0,Career,0.3,,0.8,3.4,/players/m/mokespa01.html,0.453
3090,0.5,0.545,0.9,0.3,0.28,1.0,,0.4,0.0,0.3,0.8,0.404,1.9,0.1,0.4,0.2,25,0,NBA,6.7,0.3,0.9,,1.9,Career,0.2,,0.3,0.6,/players/m/mokokad01.html,0.479
3091,,,,,,,,1.6,,,3.6,.390,9.1,4.4,.759,5.8,32,,NBA,29.9,,2.6,,11.6,Career,,,,7.1,/players/m/molinja01.html,
3092,1.9,0.414,4.6,0.0,0.667,0.1,,0.7,,,1.9,0.417,4.7,0.8,0.649,1.3,59.0,,TOT,10.3,,1.0,,4.7,Career,,,0.6,3.3,/players/m/moliswa01.html,0.42
3093,5.2,.513,10.2,0.1,.284,0.5,,3.6,0.3,2.8,5.4,.502,10.7,4.7,.831,5.6,767,513,NBA,30.2,1.9,2.1,,15.6,Career,1.2,,2.0,4.7,/players/m/moncrsi01.html,.509
3094,5.3,0.494,10.6,0.0,,0.0,,3.8,0.1,1.3,5.3,0.494,10.6,1.7,0.748,2.3,426.0,,NBA,25.4,0.8,2.7,,12.2,Career,1.2,,3.4,2.1,/players/m/moneyer01.html,0.494
3095,0.8,0.377,2.0,0.3,0.265,1.3,,0.7,0.2,1.6,1.1,0.333,3.3,0.4,0.714,0.5,26.0,15.0,NBA,13.2,0.4,1.6,,3.0,Career,0.3,,0.5,2.0,/players/m/moniase01.html,0.385
3096,2.1,0.501,4.2,1.6,0.355,4.6,,2.0,0.2,2.0,3.7,0.424,8.8,1.2,0.83,1.4,309.0,38.0,NBA,20.4,0.3,1.4,,10.3,Career,0.5,,1.3,2.3,/players/m/monkma01.html,0.518
3097,7.5,0.464,16.1,0.0,,0.0,,3.9,0.3,2.1,7.5,0.464,16.1,3.9,0.807,4.9,926.0,,NBA,32.0,0.6,2.6,,18.8,Career,1.0,,1.6,3.0,/players/m/monroea01.html,0.464
3098,5.2,0.515,10.1,0.0,0.059,0.0,,2.1,0.6,5.4,5.2,0.514,10.1,2.6,0.703,3.7,646.0,417.0,NBA,27.4,2.8,2.2,,13.0,Career,1.1,,1.9,8.2,/players/m/monrogr01.html,0.514
3099,1.2,0.402,3.1,0.2,0.222,0.7,,0.7,0.1,0.6,1.4,0.368,3.8,0.5,0.826,0.6,38,0,NBA,8.2,0.3,0.5,,3.4,Career,0.3,,0.6,0.9,/players/m/monroro01.html,0.389
3100,0.3,0.364,0.8,0.1,0.111,0.6,,0.1,0.0,0.4,0.4,0.25,1.4,0.2,0.75,0.3,14.0,0.0,NBA,3.6,0.0,0.1,,1.0,Career,0.0,,0.4,0.4,/players/m/montelu01.html,0.275
3101,,,,,,,,1.1,,,3.3,0.425,7.7,0.7,0.609,1.2,20,,NBA,18.2,,1.8,,7.2,Career,,,,3.5,/players/m/montgho01.html,
3102,1.9,0.491,3.9,0.0,0.0,0.0,,0.4,0.6,3.1,1.9,0.49,3.9,0.6,0.478,1.3,465.0,288.0,NBA,18.2,1.5,2.7,,4.5,Career,0.3,,0.9,4.6,/players/m/montrer01.html,0.49
3103,0.8,0.548,1.4,0.8,0.364,2.1,,0.4,0.2,1.2,1.5,0.437,3.5,0.5,0.778,0.7,52,11,NBA,11.7,0.3,0.8,,4.4,Career,0.1,,0.3,1.5,/players/m/moodymo01.html,0.546
3104,1.9,0.53,3.6,0.6,0.329,1.9,,1.0,0.8,3.6,2.5,0.461,5.5,0.6,0.803,0.8,286.0,157.0,NBA,22.6,0.7,1.5,,6.3,Career,0.8,,0.5,4.3,/players/m/moonja01.html,0.518
3105,2.0,0.541,3.7,0.5,0.357,1.4,,2.4,0.3,1.2,2.5,0.49,5.1,0.3,0.6,0.5,10,0,NBA,13.7,0.2,0.9,,5.8,Career,0.7,,0.6,1.4,/players/m/moonxa01.html,0.539
3106,,,,,,,,1.9,,,3.0,0.365,8.2,1.5,0.675,2.2,18,,NBA,29.4,,2.8,,7.5,Career,,,,3.9,/players/m/mooneji01.html,
3107,0.2,0.5,0.4,0.0,0.0,0.6,,0.2,0.2,0.6,0.2,0.2,1.0,0.0,,0.0,5.0,0.0,NBA,4.2,0.0,0.2,,0.4,Career,0.6,,0.2,0.6,/players/m/moonema01.html,0.2
3108,0.9,0.333,2.7,0.0,,0.0,,0.6,0.1,0.8,0.9,0.333,2.7,0.6,0.75,0.8,10.0,0.0,NBA,5.0,0.6,0.6,,2.4,Career,0.2,,0.4,1.4,/players/m/moorean01.html,0.333
3109,0.0,,0.0,0.0,,0.0,,0.5,0.0,0.5,0.0,,0.0,0.0,,0.0,2,0,NBA,4.5,0.0,2.0,,0.0,Career,0.0,,0.0,0.5,/players/m/moorebe01.html,
3110,2.3,0.489,4.7,0.9,0.388,2.4,,1.8,0.2,1.5,3.2,0.455,7.1,0.6,0.742,0.8,598.0,191.0,NBA,21.0,0.5,1.6,,7.9,Career,0.7,,0.9,2.0,/players/m/mooreet01.html,0.521
3111,5.0,0.468,10.7,0.0,0.303,0.1,,1.4,1.4,6.0,5.0,0.467,10.8,2.0,0.679,2.9,465.0,,ABA,25.3,3.4,3.7,,12.0,Career,0.5,,2.5,9.4,/players/m/moorege01.html,0.468
