,2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,URL,eFG%
4616,3.4,0.441,7.8,0.0,0.059,0.1,,4.6,0.3,2.9,3.4,0.435,7.9,2.0,0.713,2.8,720.0,356.0,NBA,25.8,1.5,2.5,,8.9,Career,1.5,,2.0,4.4,/players/w/walkeda01.html,0.435
4617,2.3,0.437,5.3,0.0,0.227,0.1,,4.7,0.1,1.9,2.3,0.435,5.4,1.7,0.762,2.2,658.0,64.0,NBA,22.9,0.7,2.1,,6.4,Career,1.5,,1.8,2.6,/players/w/walkefo01.html,0.436
4618,1.1,0.56,1.9,1.0,0.369,2.8,,0.8,0.1,1.9,2.1,0.446,4.8,0.6,0.76,0.9,181.0,35.0,NBA,16.7,0.3,2.1,,6.0,Career,0.5,,0.8,2.2,/players/w/walkebi01.html,0.556
4619,,,,,,,,1.1,,,2.3,0.339,6.8,2.2,0.725,3.0,65,,NBA,20.5,,3.0,,6.7,Career,,,,7.2,/players/w/walkeho01.html,
4620,,,,,,,,3.5,0.2,2.1,6.6,0.461,14.4,3.4,0.829,4.2,698.0,,NBA,33.8,0.6,2.5,,16.7,Career,1.1,,,2.7,/players/w/walkeji01.html,
4621,4.5,0.455,9.8,2.2,0.36,6.2,,5.3,0.4,3.2,6.7,0.418,16.1,3.8,0.84,4.5,741.0,696.0,NBA,33.3,0.6,1.5,,19.5,Career,1.2,,2.1,3.8,/players/w/walkeke02.html,0.488
4622,2.8,.489,5.6,0.0,.206,0.1,,0.7,0.7,2.3,2.8,.485,5.7,1.4,.749,1.9,448,160,NBA,20.2,1.7,2.6,,7.0,Career,0.5,,0.8,4.0,/players/w/walkeke01.html,.487
4623,2.3,0.465,4.9,1.2,0.343,3.6,,1.6,0.2,2.1,3.5,0.414,8.5,1.1,0.779,1.4,208,56,NBA,20.4,0.3,1.4,,9.4,Career,0.5,,0.9,2.4,/players/w/walkelo01.html,0.486
4624,0.0,0.0,1.0,0.0,0.0,1.0,,0.5,0.0,0.5,0.0,0.0,2.0,0.0,,0.0,2,0,NBA,4.0,0.0,0.5,,0.0,Career,1.0,,0.0,0.5,/players/w/walkemj01.html,0.0
4625,,,,,,,,1.4,0.1,0.8,1.4,0.354,4.0,1.6,0.667,2.4,40,,NBA,9.6,0.5,1.0,,4.5,Career,0.4,,1.6,1.3,/players/w/walkeph01.html,
4626,2.1,0.464,4.5,0.0,0.111,0.0,,0.6,0.7,3.3,2.1,0.462,4.6,1.1,0.63,1.8,445.0,143.0,NBA,17.1,1.4,2.0,,5.3,Career,0.3,,0.9,4.7,/players/w/walkesa01.html,0.462
4627,3.0,.468,6.5,0.0,.200,0.0,,1.5,0.2,2.0,3.0,.467,6.5,0.9,.643,1.4,565,147,NBA,18.0,1.1,2.0,,7.0,Career,0.4,,1.2,3.1,/players/w/walkewa01.html,.467
4628,5.9,.457,12.9,1.0,.323,3.1,,9.1,0.7,3.7,6.9,.431,16.0,4.3,.779,5.5,613,601,NBA,35.6,0.6,2.2,,19.1,Career,1.7,,3.8,4.3,/players/w/walljo01.html,.462
4629,2.4,0.477,4.9,0.0,0.137,0.0,,1.3,2.0,6.5,2.4,0.474,5.0,1.0,0.414,2.5,1088.0,912.0,NBA,29.5,3.2,1.9,,5.7,Career,1.3,,1.0,9.6,/players/w/wallabe01.html,0.475
4630,3.7,0.502,7.4,0.5,0.312,1.6,,2.1,0.8,4.4,4.2,0.469,9.0,3.0,0.709,4.2,832.0,611.0,NBA,29.7,1.4,2.2,,11.9,Career,1.4,,1.8,5.8,/players/w/wallage01.html,0.496
4631,3.0,.465,6.4,0.0,.300,0.1,,0.7,0.6,1.9,3.0,.462,6.6,1.5,.740,2.1,381,45,NBA,16.1,0.9,1.9,,7.6,Career,0.4,,1.2,2.8,/players/w/wallajo01.html,.465
4632,4.7,.508,9.3,1.0,.336,2.9,,1.8,1.3,5.3,5.7,.467,12.2,2.1,.721,2.9,1109,956,NBA,32.7,1.4,2.9,,14.4,Career,1.0,,1.5,6.7,/players/w/wallara01.html,.507
4633,,,,,,,,1.0,,,3.7,0.278,13.3,1.7,0.541,3.2,61.0,,BAA,,,2.7,,9.1,Career,,,,,/players/w/wallare01.html,
4634,1.8,0.462,4.0,0.2,0.207,0.7,,1.1,0.2,1.7,2.0,0.422,4.7,0.9,0.656,1.4,112.0,19.0,NBA,15.3,0.4,1.7,,5.1,Career,0.5,,0.8,2.1,/players/w/wallaty01.html,0.438
4635,0.7,.389,1.8,0.0,.000,0.1,,0.3,,2.9,0.7,.378,1.9,0.6,.462,1.3,20,,TOT,6.3,1.9,1.2,,2.0,Career,,,1.9,2.7,/players/w/walledw01.html,.378
4636,1.8,0.421,4.2,0.0,0.0,0.2,,0.3,0.1,0.4,1.8,0.4,4.4,1.1,0.556,2.0,9,0,NBA,10.1,1.0,1.4,,4.7,Career,0.4,,1.2,1.4,/players/w/walleja01.html,0.4
4637,,,,,,,,0.8,,,0.5,0.185,2.7,1.0,0.588,1.7,10,,NBA,7.2,,0.9,,2.0,Career,,,,1.5,/players/w/walshji01.html,
4638,0.5,1.0,0.5,0.0,,0.0,,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,2,0,NBA,1.5,0.0,0.0,,1.0,Career,0.0,,0.5,0.0,/players/w/walshma01.html,1.0
4639,1.1,0.495,2.3,0.6,0.361,1.5,,1.7,0.1,1.0,1.7,0.441,3.9,0.6,0.809,0.8,335.0,67.0,NBA,13.7,0.2,1.3,,4.6,Career,0.4,,0.9,1.2,/players/w/waltere01.html,0.514
4640,,,,,,,,2.6,,,2.6,0.362,7.2,2.4,0.708,3.4,370.0,,NBA,28.6,,2.9,,7.7,Career,,,,3.7,/players/w/walthpa01.html,
4641,,,,,,,,0.5,,,0.3,0.167,1.5,0.0,,0.0,4,,NBA,7.5,,1.5,,0.5,Career,,,,0.3,/players/w/walthis01.html,
4642,5.5,.521,10.5,0.0,.000,0.0,,3.4,2.2,8.2,5.5,.521,10.5,2.4,.660,3.6,468,117,NBA,28.3,2.4,2.8,,13.3,Career,0.8,,2.7,10.5,/players/w/waltobi01.html,.521
4643,0.3,0.333,0.8,0.4,0.37,1.2,,1.4,0.2,0.8,0.7,0.356,2.0,0.4,0.895,0.4,45.0,4.0,NBA,11.2,0.1,0.8,,2.2,Career,0.5,,0.4,0.9,/players/w/waltode01.html,0.467
4644,1.8,0.455,3.9,0.0,0.25,0.0,,3.6,0.1,0.7,1.8,0.454,3.9,0.7,0.711,1.0,341.0,,NBA,15.8,0.4,1.1,,4.2,Career,0.8,,1.5,1.1,/players/w/waltoll01.html,0.455
4645,1.5,0.459,3.4,0.3,0.326,1.0,,2.3,0.2,2.0,1.9,0.429,4.3,0.7,0.715,0.9,564.0,138.0,NBA,17.2,0.9,1.4,,4.7,Career,0.6,,1.1,2.8,/players/w/waltolu01.html,0.466
4646,1.5,0.47,3.1,0.4,0.3,1.3,,2.4,0.2,1.5,1.9,0.421,4.4,1.4,0.907,1.5,191.0,3.0,NBA,16.2,0.3,1.6,,5.5,Career,0.6,,1.0,1.7,/players/w/wanambr01.html,0.464
4647,,,,,,,,3.2,,,4.0,0.393,10.2,4.2,0.802,5.2,568,,TOT,32.5,,2.2,,12.2,Career,,,,4.5,/players/w/wanzebo01.html,
4648,,,,,,,,3.2,0.0,1.2,0.8,0.19,4.2,0.4,1.0,0.4,5,,NBA,14.0,0.4,3.2,,2.0,Career,0.0,,,1.6,/players/w/warbipe01.html,
4649,1.2,0.455,2.7,1.0,0.364,2.8,,4.0,0.2,2.2,2.2,0.408,5.4,0.8,0.771,1.0,630.0,285.0,NBA,22.3,0.4,2.0,,6.3,Career,1.2,,1.6,2.6,/players/w/wardch01.html,0.502
4650,,,,,,,,1.4,,,1.2,0.356,3.4,0.8,0.639,1.3,169.0,,NBA,12.1,,2.2,,3.2,Career,,,,1.7,/players/w/wardge01.html,
4651,2.1,0.455,4.5,0.1,0.261,0.4,,0.5,0.2,1.3,2.1,0.444,4.8,0.4,0.705,0.5,88,,TOT,9.8,0.6,1.5,,4.7,Career,0.3,,0.7,2.0,/players/w/wardhe01.html,0.452
4652,1.2,0.524,2.3,0.8,0.333,2.3,,1.1,0.0,1.0,2.0,0.429,4.7,0.6,0.833,0.7,9,0,NBA,12.9,0.0,1.2,,5.3,Career,0.9,,0.6,1.0,/players/w/wareca01.html,0.512
4653,0.9,0.293,3.1,0.0,,0.0,,0.2,,5.0,0.9,0.293,3.1,0.5,0.642,0.8,64.0,,TOT,6.9,2.0,1.0,,2.3,Career,,,1.0,2.4,/players/w/wareji01.html,0.293
4654,2.7,0.435,6.2,0.7,0.284,2.3,,0.8,,2.9,2.9,0.418,7.0,2.4,0.751,3.2,436.0,,TOT,19.0,1.0,3.0,,8.5,Career,,,1.7,5.6,/players/w/warlebe01.html,0.434
4655,3.3,0.401,8.2,0.0,0.0,0.0,,2.1,,2.2,3.3,0.401,8.2,1.4,0.603,2.3,186.0,,TOT,17.0,1.8,2.0,,7.9,Career,,,2.0,3.0,/players/w/warlibo01.html,0.401
4656,,,,,,,,1.1,0.6,5.7,2.7,0.452,5.9,1.1,0.672,1.6,445.0,,NBA,23.6,2.4,2.8,,6.4,Career,0.5,,,7.5,/players/w/warneco01.html,
4657,2.3,0.583,4.0,0.0,,0.0,,0.0,0.0,1.7,2.3,0.583,4.0,1.0,0.6,1.7,3,0,NBA,9.0,1.3,0.7,,5.7,Career,0.0,,0.3,3.0,/players/w/warneja01.html,0.583
4658,2.9,0.461,6.4,0.2,0.262,0.8,,1.8,0.2,1.8,3.1,0.44,7.1,2.5,0.801,3.1,486.0,,ABA,20.4,1.4,2.3,,8.9,Career,0.5,,1.7,3.2,/players/w/warrebo01.html,0.454
4659,,,,,,,,1.9,0.1,1.2,2.5,0.43,5.8,1.0,0.827,1.2,303.0,,NBA,16.3,0.6,2.0,,6.0,Career,0.4,,,2.3,/players/w/warrejo01.html,
4660,5.7,0.536,10.5,0.7,0.357,2.1,,1.2,0.5,2.8,6.4,0.507,12.6,1.9,0.78,2.5,332.0,236.0,NBA,28.8,1.4,2.4,,15.5,Career,1.0,,1.0,4.1,/players/w/warretj01.html,0.536
4661,0.4,0.4,1.1,0.3,0.333,0.8,,1.4,0.0,0.6,0.7,0.371,1.8,0.3,0.75,0.4,19,0,NBA,7.1,0.1,0.8,,1.9,Career,0.3,,0.4,0.6,/players/w/warrewi01.html,0.443
4662,1.5,0.452,3.4,0.0,0.208,0.1,,2.6,0.1,1.1,1.6,0.443,3.5,0.9,0.747,1.2,169.0,26.0,NBA,14.1,0.2,1.8,,4.0,Career,0.5,,1.3,1.3,/players/w/warribr01.html,0.447
4663,3.3,.499,6.7,0.0,.191,0.2,,0.8,0.3,2.7,3.4,.490,6.9,2.6,.726,3.6,526,108,NBA,20.2,1.3,1.8,,9.4,Career,0.4,,1.2,4.0,/players/w/warriha01.html,.493
4664,1.3,.413,3.1,0.0,.000,0.0,,0.3,0.2,1.6,1.3,.412,3.1,0.5,.439,1.1,72,2,NBA,9.0,0.9,1.1,,3.1,Career,0.2,,0.8,2.4,/players/w/washbch01.html,.412
4665,0.6,0.458,1.3,0.3,0.208,1.3,,0.8,0.1,1.8,0.9,0.333,2.7,0.2,0.75,0.2,18,3,NBA,14.1,0.4,0.9,,2.2,Career,0.7,,0.4,2.3,/players/w/washbju01.html,0.385
4666,2.1,0.397,5.3,0.0,,0.0,,3.5,,0.0,2.1,0.397,5.3,1.8,0.776,2.3,118.0,,TOT,15.2,0.0,2.0,,5.9,Career,,,0.5,2.0,/players/w/washibo01.html,0.397
